200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 1 , 210 , "Melbourne" , "Australia"
200906 , "Kids" , "MGMT" , 5:03 , 2 , 203 , "Melbourne" , "Australia"
200906 , "The Fear" , "Lily Allen" , 3:29 , 3 , 197 , "Melbourne" , "Australia"
200906 , "Electric Feel" , "MGMT" , 3:49 , 4 , 194 , "Melbourne" , "Australia"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 5 , 166 , "Melbourne" , "Australia"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 6 , 161 , "Melbourne" , "Australia"
200906 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 7 , 151 , "Melbourne" , "Australia"
200906 , "Skinny Love" , "Bon Iver" , 3:57 , 8 , 148 , "Melbourne" , "Australia"
200906 , "White Winter Hymnal" , "Fleet Foxes" , 2:27 , 9 , 133 , "Melbourne" , "Australia"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 10 , 125 , "Melbourne" , "Australia"
200906 , "Not Fair" , "Lily Allen" , 3:21 , 11 , 121 , "Melbourne" , "Australia"
200906 , "Supermassive Black Hole" , "Muse" , 3:30 , 12 , 120 , "Melbourne" , "Australia"
200906 , "Closer" , "Kings of Leon" , 3:56 , 13 , 118 , "Melbourne" , "Australia"
200906 , "Poker Face" , "Lady Gaga" , 3:56 , 14 , 117 , "Melbourne" , "Australia"
200906 , "Decode" , "Paramore" , 4:21 , 15 , 116 , "Melbourne" , "Australia"
200906 , "You Found Me" , "The Fray" , 4:04 , 16 , 115 , "Melbourne" , "Australia"
200906 , "My People" , "The Presets" , 4:27 , 17 , 110 , "Melbourne" , "Australia"
200906 , "I Could Say" , "Lily Allen" , 4:04 , 18 , 109 , "Melbourne" , "Australia"
200906 , "My Girls" , "Animal Collective" , 5:41 , 19 , 109 , "Melbourne" , "Australia"
200906 , "Talk Like That" , "The Presets" , 3:40 , 20 , 107 , "Melbourne" , "Australia"
200906 , "Electric Feel" , "MGMT" , 3:49 , 1 , 81 , "Adelaide" , "Australia"
200906 , "Kids" , "MGMT" , 5:03 , 2 , 77 , "Adelaide" , "Australia"
200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 3 , 76 , "Adelaide" , "Australia"
200906 , "The Fear" , "Lily Allen" , 3:29 , 4 , 68 , "Adelaide" , "Australia"
200906 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 5 , 64 , "Adelaide" , "Australia"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 6 , 59 , "Adelaide" , "Australia"
200906 , "Talk Like That" , "The Presets" , 3:40 , 7 , 54 , "Adelaide" , "Australia"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 8 , 51 , "Adelaide" , "Australia"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 9 , 49 , "Adelaide" , "Australia"
200906 , "Knights of Cydonia" , "Muse" , 6:07 , 10 , 48 , "Adelaide" , "Australia"
200906 , "Skinny Love" , "Bon Iver" , 3:57 , 11 , 46 , "Adelaide" , "Australia"
200906 , "Paris Is Burning" , "Ladyhawke" , 3:49 , 12 , 45 , "Adelaide" , "Australia"
200906 , "Supermassive Black Hole" , "Muse" , 3:30 , 13 , 45 , "Adelaide" , "Australia"
200906 , "My Delirium" , "Ladyhawke" , 4:15 , 14 , 44 , "Adelaide" , "Australia"
200906 , "My People" , "The Presets" , 4:27 , 15 , 44 , "Adelaide" , "Australia"
200906 , "My Girls" , "Animal Collective" , 5:41 , 16 , 43 , "Adelaide" , "Australia"
200906 , "This Boy's In Love" , "The Presets" , 4:12 , 17 , 41 , "Adelaide" , "Australia"
200906 , "White Winter Hymnal" , "Fleet Foxes" , 2:27 , 18 , 41 , "Adelaide" , "Australia"
200906 , "Everyone's at It" , "Lily Allen" , 4:34 , 19 , 40 , "Adelaide" , "Australia"
200906 , "Poker Face" , "Lady Gaga" , 3:56 , 20 , 40 , "Adelaide" , "Australia"
200906 , "Electric Feel" , "MGMT" , 3:49 , 1 , 275 , "Sydney" , "Australia"
200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 266 , "Sydney" , "Australia"
200906 , "Kids" , "MGMT" , 5:03 , 3 , 248 , "Sydney" , "Australia"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 4 , 239 , "Sydney" , "Australia"
200906 , "The Fear" , "Lily Allen" , 3:29 , 5 , 235 , "Sydney" , "Australia"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 6 , 202 , "Sydney" , "Australia"
200906 , "Skinny Love" , "Bon Iver" , 3:57 , 7 , 198 , "Sydney" , "Australia"
200906 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 8 , 197 , "Sydney" , "Australia"
200906 , "Supermassive Black Hole" , "Muse" , 3:30 , 9 , 192 , "Sydney" , "Australia"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 10 , 186 , "Sydney" , "Australia"
200906 , "Poker Face" , "Lady Gaga" , 3:56 , 11 , 183 , "Sydney" , "Australia"
200906 , "My Girls" , "Animal Collective" , 5:41 , 12 , 168 , "Sydney" , "Australia"
200906 , "Closer" , "Kings of Leon" , 3:56 , 13 , 164 , "Sydney" , "Australia"
200906 , "You Found Me" , "The Fray" , 4:04 , 14 , 163 , "Sydney" , "Australia"
200906 , "White Winter Hymnal" , "Fleet Foxes" , 2:27 , 15 , 161 , "Sydney" , "Australia"
200906 , "Human" , "The Killers" , 4:06 , 16 , 157 , "Sydney" , "Australia"
200906 , "I'm Yours" , "Jason Mraz" , 4:01 , 17 , 156 , "Sydney" , "Australia"
200906 , "Paper Planes" , "M.I.A." , 3:24 , 18 , 153 , "Sydney" , "Australia"
200906 , "All I Need" , "Radiohead" , 3:47 , 19 , 152 , "Sydney" , "Australia"
200906 , "Not Fair" , "Lily Allen" , 3:21 , 20 , 151 , "Sydney" , "Australia"
200906 , "Alles Neu" , "Peter Fox" , 4:10 , 1 , 23 , "Linz" , "Austria"
200906 , "Time Is Running Out" , "Muse" , 3:56 , 2 , 21 , "Linz" , "Austria"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 3 , 19 , "Linz" , "Austria"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 4 , 19 , "Linz" , "Austria"
200906 , "Kids" , "MGMT" , 5:03 , 5 , 18 , "Linz" , "Austria"
200906 , "Somebody Told Me" , "The Killers" , 3:17 , 6 , 17 , "Linz" , "Austria"
200906 , "Supermassive Black Hole" , "Muse" , 3:30 , 7 , 17 , "Linz" , "Austria"
200906 , "Dance With Somebody" , "Mando Diao" , 5:18 , 8 , 16 , "Linz" , "Austria"
200906 , "Schwarz zu blau" , "Peter Fox" , 3:34 , 9 , 15 , "Linz" , "Austria"
200906 , "Ulysses" , "Franz Ferdinand" , 3:08 , 10 , 14 , "Linz" , "Austria"
200906 , "Propane Nightmares" , "Pendulum" , 5:12 , 11 , 14 , "Linz" , "Austria"
200906 , "This Is The Life" , "Amy Macdonald" , 3:06 , 12 , 14 , "Linz" , "Austria"
200906 , "Human" , "The Killers" , 4:06 , 13 , 14 , "Linz" , "Austria"
200906 , "How To Save A Life" , "The Fray" , 4:21 , 14 , 14 , "Linz" , "Austria"
200906 , "The Pretender" , "Foo Fighters" , 4:28 , 15 , 13 , "Linz" , "Austria"
200906 , "Song 2" , "Blur" , 2:01 , 16 , 13 , "Linz" , "Austria"
200906 , "When You Were Young" , "The Killers" , 3:39 , 17 , 13 , "Linz" , "Austria"
200906 , "The Bitter End" , "Placebo" , 3:10 , 18 , 13 , "Linz" , "Austria"
200906 , "The Day That Never Comes" , "Metallica" , 7:57 , 19 , 13 , "Linz" , "Austria"
200906 , "Rock Me Amadeus" , "Falco" , 3:19 , 20 , 13 , "Linz" , "Austria"
200906 , "Alles Neu" , "Peter Fox" , 4:10 , 1 , 41 , "Graz" , "Austria"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 2 , 31 , "Graz" , "Austria"
200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 3 , 29 , "Graz" , "Austria"
200906 , "This Is The Life" , "Amy Macdonald" , 3:06 , 4 , 29 , "Graz" , "Austria"
200906 , "Human" , "The Killers" , 4:06 , 5 , 26 , "Graz" , "Austria"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 6 , 25 , "Graz" , "Austria"
200906 , "Dance With Somebody" , "Mando Diao" , 5:18 , 7 , 24 , "Graz" , "Austria"
200906 , "Kids" , "MGMT" , 5:03 , 8 , 24 , "Graz" , "Austria"
200906 , "Ulysses" , "Franz Ferdinand" , 3:08 , 9 , 24 , "Graz" , "Austria"
200906 , "I Kissed a Girl" , "Katy Perry" , 2:59 , 10 , 23 , "Graz" , "Austria"
200906 , "Clocks" , "Coldplay" , 4:11 , 11 , 23 , "Graz" , "Austria"
200906 , "Take Me Out" , "Franz Ferdinand" , 4:00 , 12 , 23 , "Graz" , "Austria"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 13 , 22 , "Graz" , "Austria"
200906 , "Chasing Cars" , "Snow Patrol" , 4:25 , 14 , 21 , "Graz" , "Austria"
200906 , "Haus am See" , "Peter Fox" , 3:36 , 15 , 20 , "Graz" , "Austria"
200906 , "Stadtaffe" , "Peter Fox" , 3:35 , 16 , 19 , "Graz" , "Austria"
200906 , "How To Save A Life" , "The Fray" , 4:21 , 17 , 19 , "Graz" , "Austria"
200906 , "Schwarz zu blau" , "Peter Fox" , 3:34 , 18 , 19 , "Graz" , "Austria"
200906 , "Somebody Told Me" , "The Killers" , 3:17 , 19 , 19 , "Graz" , "Austria"
200906 , "Arbeit Mach Frei" , "The Libertines" , 1:13 , 20 , 18 , "Graz" , "Austria"
200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 1 , 151 , "Vienna" , "Austria"
200906 , "Kids" , "MGMT" , 5:03 , 2 , 137 , "Vienna" , "Austria"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 3 , 123 , "Vienna" , "Austria"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 4 , 121 , "Vienna" , "Austria"
200906 , "Alles Neu" , "Peter Fox" , 4:10 , 5 , 116 , "Vienna" , "Austria"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 6 , 114 , "Vienna" , "Austria"
200906 , "Ulysses" , "Franz Ferdinand" , 3:08 , 7 , 108 , "Vienna" , "Austria"
200906 , "Electric Feel" , "MGMT" , 3:49 , 8 , 103 , "Vienna" , "Austria"
200906 , "Arbeit Mach Frei" , "The Libertines" , 1:13 , 9 , 99 , "Vienna" , "Austria"
200906 , "Wonderwall" , "Oasis" , 4:18 , 10 , 97 , "Vienna" , "Austria"
200906 , "Dance With Somebody" , "Mando Diao" , 5:18 , 11 , 97 , "Vienna" , "Austria"
200906 , "That's Not My Name" , "The Ting Tings" , 5:11 , 12 , 94 , "Vienna" , "Austria"
200906 , "Supermassive Black Hole" , "Muse" , 3:30 , 13 , 91 , "Vienna" , "Austria"
200906 , "Teardrop" , "Massive Attack" , 5:30 , 14 , 91 , "Vienna" , "Austria"
200906 , "This Is The Life" , "Amy Macdonald" , 3:06 , 15 , 85 , "Vienna" , "Austria"
200906 , "Human" , "The Killers" , 4:06 , 16 , 83 , "Vienna" , "Austria"
200906 , "I'm Yours" , "Jason Mraz" , 4:01 , 17 , 81 , "Vienna" , "Austria"
200906 , "The Scientist" , "Coldplay" , 5:10 , 18 , 77 , "Vienna" , "Austria"
200906 , "Clocks" , "Coldplay" , 4:11 , 19 , 77 , "Vienna" , "Austria"
200906 , "Arbeit nervt" , "Deichkind" , 3:19 , 20 , 77 , "Vienna" , "Austria"
200906 , "Alles Neu" , "Peter Fox" , 4:10 , 1 , 17 , "Salzburg" , "Austria"
200906 , "Kids" , "MGMT" , 5:03 , 2 , 17 , "Salzburg" , "Austria"
200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 3 , 13 , "Salzburg" , "Austria"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 4 , 12 , "Salzburg" , "Austria"
200906 , "Ulysses" , "Franz Ferdinand" , 3:08 , 5 , 11 , "Salzburg" , "Austria"
200906 , "When You Were Young" , "The Killers" , 3:39 , 6 , 11 , "Salzburg" , "Austria"
200906 , "Spaceman" , "The Killers" , 4:45 , 7 , 10 , "Salzburg" , "Austria"
200906 , "Dance With Somebody" , "Mando Diao" , 5:18 , 8 , 10 , "Salzburg" , "Austria"
200906 , "Human" , "The Killers" , 4:06 , 9 , 10 , "Salzburg" , "Austria"
200906 , "Weekend Wars" , "MGMT" , 4:10 , 10 , 10 , "Salzburg" , "Austria"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 11 , 9 , "Salzburg" , "Austria"
200906 , "Dancing Shoes" , "Arctic Monkeys" , 2:22 , 12 , 9 , "Salzburg" , "Austria"
200906 , "Joy Ride" , "The Killers" , 3:34 , 13 , 9 , "Salzburg" , "Austria"
200906 , "Triptico" , "Gotan Project" , 8:27 , 14 , 9 , "Salzburg" , "Austria"
200906 , "Electric Feel" , "MGMT" , 3:49 , 15 , 8 , "Salzburg" , "Austria"
200906 , "Scar Tissue" , "Red Hot Chili Peppers" , 3:37 , 16 , 8 , "Salzburg" , "Austria"
200906 , "That's Not My Name" , "The Ting Tings" , 5:11 , 17 , 8 , "Salzburg" , "Austria"
200906 , "Speed of Sound" , "Coldplay" , 4:48 , 18 , 8 , "Salzburg" , "Austria"
200906 , "Through Glass" , "Stone Sour" , 4:43 , 19 , 8 , "Salzburg" , "Austria"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 20 , 8 , "Salzburg" , "Austria"
200906 , "Alles Neu" , "Peter Fox" , 4:10 , 1 , 20 , "Innsbruck" , "Austria"
200906 , "Kids" , "MGMT" , 5:03 , 2 , 20 , "Innsbruck" , "Austria"
200906 , "Sex On Fire" , "Kings of Leon" , 3:25 , 3 , 18 , "Innsbruck" , "Austria"
200906 , "Paralyzer" , "Finger Eleven" , 3:28 , 4 , 14 , "Innsbruck" , "Austria"
200906 , "Arbeit Mach Frei" , "The Libertines" , 1:13 , 5 , 13 , "Innsbruck" , "Austria"
200906 , "Viva La Vida" , "Coldplay" , 4:00 , 6 , 12 , "Innsbruck" , "Austria"
200906 , "Electric Feel" , "MGMT" , 3:49 , 7 , 12 , "Innsbruck" , "Austria"
200906 , "Time To Pretend" , "MGMT" , 4:22 , 8 , 12 , "Innsbruck" , "Austria"
200906 , "Use Somebody" , "Kings of Leon" , 3:50 , 9 , 12 , "Innsbruck" , "Austria"
200906 , "I'm Yours" , "Jason Mraz" , 4:01 , 10 , 11 , "Innsbruck" , "Austria"
200906 , "Paranoid" , "Black Sabbath" , 2:47 , 11 , 11 , "Innsbruck" , "Austria"
200906 , "Allein Allein" , "Polarkreis 18" , 4:03 , 12 , 11 , "Innsbruck" , "Austria"
200906 , "Rehab" , "Amy Winehouse" , 3:32 , 13 , 11 , "Innsbruck" , "Austria"
