200905 , "Electric Feel" , "MGMT" , 3:49 , 1 , 225 , "Melbourne" , "Australia"
200905 , "Kids" , "MGMT" , 5:03 , 2 , 223 , "Melbourne" , "Australia"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 3 , 215 , "Melbourne" , "Australia"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 4 , 204 , "Melbourne" , "Australia"
200905 , "The Fear" , "Lily Allen" , 3:29 , 5 , 191 , "Melbourne" , "Australia"
200905 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 6 , 176 , "Melbourne" , "Australia"
200905 , "Use Somebody" , "Kings of Leon" , 3:50 , 7 , 175 , "Melbourne" , "Australia"
200905 , "My Girls" , "Animal Collective" , 5:41 , 8 , 139 , "Melbourne" , "Australia"
200905 , "Closer" , "Kings of Leon" , 3:56 , 9 , 134 , "Melbourne" , "Australia"
200905 , "Supermassive Black Hole" , "Muse" , 3:30 , 10 , 134 , "Melbourne" , "Australia"
200905 , "Skinny Love" , "Bon Iver" , 3:57 , 11 , 134 , "Melbourne" , "Australia"
200905 , "Weekend Wars" , "MGMT" , 4:10 , 12 , 131 , "Melbourne" , "Australia"
200905 , "Poker Face" , "Lady Gaga" , 3:56 , 13 , 130 , "Melbourne" , "Australia"
200905 , "Human" , "The Killers" , 4:06 , 14 , 129 , "Melbourne" , "Australia"
200905 , "Decode" , "Paramore" , 4:21 , 15 , 126 , "Melbourne" , "Australia"
200905 , "Viva La Vida" , "Coldplay" , 4:00 , 16 , 125 , "Melbourne" , "Australia"
200905 , "Summertime Clothes" , "Animal Collective" , 4:30 , 17 , 118 , "Melbourne" , "Australia"
200905 , "Time Is Running Out" , "Muse" , 3:56 , 18 , 117 , "Melbourne" , "Australia"
200905 , "In the Flowers" , "Animal Collective" , 5:22 , 19 , 116 , "Melbourne" , "Australia"
200905 , "Gives You Hell" , "The All-American Rejects" , 3:33 , 20 , 115 , "Melbourne" , "Australia"
200905 , "Electric Feel" , "MGMT" , 3:49 , 1 , 87 , "Adelaide" , "Australia"
200905 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 80 , "Adelaide" , "Australia"
200905 , "Kids" , "MGMT" , 5:03 , 3 , 72 , "Adelaide" , "Australia"
200905 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 4 , 63 , "Adelaide" , "Australia"
200905 , "The Fear" , "Lily Allen" , 3:29 , 5 , 61 , "Adelaide" , "Australia"
200905 , "Use Somebody" , "Kings of Leon" , 3:50 , 6 , 55 , "Adelaide" , "Australia"
200905 , "Ulysses" , "Franz Ferdinand" , 3:08 , 7 , 53 , "Adelaide" , "Australia"
200905 , "Time To Pretend" , "MGMT" , 4:22 , 8 , 51 , "Adelaide" , "Australia"
200905 , "My Delirium" , "Ladyhawke" , 4:15 , 9 , 50 , "Adelaide" , "Australia"
200905 , "Poker Face" , "Lady Gaga" , 3:56 , 10 , 50 , "Adelaide" , "Australia"
200905 , "Human" , "The Killers" , 4:06 , 11 , 45 , "Adelaide" , "Australia"
200905 , "Time Is Running Out" , "Muse" , 3:56 , 12 , 44 , "Adelaide" , "Australia"
200905 , "Closer" , "Kings of Leon" , 3:56 , 13 , 44 , "Adelaide" , "Australia"
200905 , "Paris Is Burning" , "Ladyhawke" , 3:49 , 14 , 43 , "Adelaide" , "Australia"
200905 , "Knights of Cydonia" , "Muse" , 6:07 , 15 , 42 , "Adelaide" , "Australia"
