200918 , "Kids" , "MGMT" , 5:03 , 1 , 177 , "Melbourne" , "Australia"
200918 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 177 , "Melbourne" , "Australia"
200918 , "Electric Feel" , "MGMT" , 3:49 , 3 , 168 , "Melbourne" , "Australia"
200918 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 4 , 167 , "Melbourne" , "Australia"
200918 , "The Fear" , "Lily Allen" , 3:29 , 5 , 161 , "Melbourne" , "Australia"
200918 , "Skinny Love" , "Bon Iver" , 3:57 , 6 , 156 , "Melbourne" , "Australia"
200918 , "My Delirium" , "Ladyhawke" , 4:15 , 7 , 153 , "Melbourne" , "Australia"
200918 , "Viva La Vida" , "Coldplay" , 4:00 , 8 , 148 , "Melbourne" , "Australia"
200918 , "Supermassive Black Hole" , "Muse" , 3:30 , 9 , 142 , "Melbourne" , "Australia"
200918 , "My People" , "The Presets" , 4:27 , 10 , 139 , "Melbourne" , "Australia"
200918 , "Not Fair" , "Lily Allen" , 3:21 , 11 , 135 , "Melbourne" , "Australia"
200918 , "Time To Pretend" , "MGMT" , 4:22 , 12 , 135 , "Melbourne" , "Australia"
200918 , "Use Somebody" , "Kings of Leon" , 3:50 , 13 , 134 , "Melbourne" , "Australia"
200918 , "Love Story" , "Taylor Swift" , 3:54 , 14 , 132 , "Melbourne" , "Australia"
200918 , "Poker Face" , "Lady Gaga" , 3:56 , 15 , 128 , "Melbourne" , "Australia"
200918 , "Zero" , "Yeah Yeah Yeahs" , 4:30 , 16 , 126 , "Melbourne" , "Australia"
200918 , "Time Is Running Out" , "Muse" , 3:56 , 17 , 125 , "Melbourne" , "Australia"
200918 , "Karma Police" , "Radiohead" , 4:19 , 18 , 119 , "Melbourne" , "Australia"
200918 , "Paper Planes" , "M.I.A." , 3:24 , 19 , 115 , "Melbourne" , "Australia"
200918 , "Closer" , "Kings of Leon" , 3:56 , 20 , 113 , "Melbourne" , "Australia"
200918 , "The Fear" , "Lily Allen" , 3:29 , 1 , 60 , "Adelaide" , "Australia"
200918 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 56 , "Adelaide" , "Australia"
200918 , "Time Is Running Out" , "Muse" , 3:56 , 3 , 55 , "Adelaide" , "Australia"
200918 , "Kids" , "MGMT" , 5:03 , 4 , 54 , "Adelaide" , "Australia"
200918 , "Not Fair" , "Lily Allen" , 3:21 , 5 , 52 , "Adelaide" , "Australia"
200918 , "Supermassive Black Hole" , "Muse" , 3:30 , 6 , 52 , "Adelaide" , "Australia"
200918 , "Electric Feel" , "MGMT" , 3:49 , 7 , 47 , "Adelaide" , "Australia"
200918 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 8 , 47 , "Adelaide" , "Australia"
200918 , "Skinny Love" , "Bon Iver" , 3:57 , 9 , 46 , "Adelaide" , "Australia"
200918 , "Poker Face" , "Lady Gaga" , 3:56 , 10 , 44 , "Adelaide" , "Australia"
200918 , "Talk Like That" , "The Presets" , 3:40 , 11 , 43 , "Adelaide" , "Australia"
200918 , "My Delirium" , "Ladyhawke" , 4:15 , 12 , 43 , "Adelaide" , "Australia"
200918 , "Time To Pretend" , "MGMT" , 4:22 , 13 , 43 , "Adelaide" , "Australia"
200918 , "Viva La Vida" , "Coldplay" , 4:00 , 14 , 42 , "Adelaide" , "Australia"
200918 , "My Girls" , "Animal Collective" , 5:41 , 15 , 42 , "Adelaide" , "Australia"
200918 , "Bodysnatchers" , "Radiohead" , 4:01 , 16 , 41 , "Adelaide" , "Australia"
200918 , "No You Girls" , "Franz Ferdinand" , 3:40 , 17 , 40 , "Adelaide" , "Australia"
200918 , "My People" , "The Presets" , 4:27 , 18 , 40 , "Adelaide" , "Australia"
200918 , "Love Story" , "Taylor Swift" , 3:54 , 19 , 40 , "Adelaide" , "Australia"
200918 , "I Will Follow You Into The Dark" , "Death Cab for Cutie" , 3:08 , 20 , 39 , "Adelaide" , "Australia"
200918 , "Kids" , "MGMT" , 5:03 , 1 , 219 , "Sydney" , "Australia"
200918 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 207 , "Sydney" , "Australia"
200918 , "Electric Feel" , "MGMT" , 3:49 , 3 , 199 , "Sydney" , "Australia"
200918 , "Viva La Vida" , "Coldplay" , 4:00 , 4 , 199 , "Sydney" , "Australia"
200918 , "The Fear" , "Lily Allen" , 3:29 , 5 , 190 , "Sydney" , "Australia"
200918 , "Skinny Love" , "Bon Iver" , 3:57 , 6 , 189 , "Sydney" , "Australia"
200918 , "Time To Pretend" , "MGMT" , 4:22 , 7 , 182 , "Sydney" , "Australia"
200918 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 8 , 182 , "Sydney" , "Australia"
200918 , "Use Somebody" , "Kings of Leon" , 3:50 , 9 , 178 , "Sydney" , "Australia"
200918 , "Supermassive Black Hole" , "Muse" , 3:30 , 10 , 175 , "Sydney" , "Australia"
200918 , "Love Story" , "Taylor Swift" , 3:54 , 11 , 166 , "Sydney" , "Australia"
200918 , "My Delirium" , "Ladyhawke" , 4:15 , 12 , 157 , "Sydney" , "Australia"
200918 , "Zero" , "Yeah Yeah Yeahs" , 4:30 , 13 , 154 , "Sydney" , "Australia"
200918 , "Time Is Running Out" , "Muse" , 3:56 , 14 , 152 , "Sydney" , "Australia"
200918 , "Poker Face" , "Lady Gaga" , 3:56 , 15 , 148 , "Sydney" , "Australia"
200918 , "Not Fair" , "Lily Allen" , 3:21 , 16 , 145 , "Sydney" , "Australia"
200918 , "A-Punk" , "Vampire Weekend" , 2:17 , 17 , 142 , "Sydney" , "Australia"
200918 , "I'm Yours" , "Jason Mraz" , 4:01 , 18 , 140 , "Sydney" , "Australia"
200918 , "Violet Hill" , "Coldplay" , 3:41 , 19 , 138 , "Sydney" , "Australia"
200918 , "15 Step" , "Radiohead" , 3:56 , 20 , 138 , "Sydney" , "Australia"
200918 , "Use Somebody" , "Kings of Leon" , 3:50 , 1 , 20 , "Linz" , "Austria"
200918 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 16 , "Linz" , "Austria"
200918 , "Poker Face" , "Lady Gaga" , 3:56 , 3 , 15 , "Linz" , "Austria"
200918 , "Schwarz zu blau" , "Peter Fox" , 3:34 , 4 , 14 , "Linz" , "Austria"
200918 , "Omen" , "The Prodigy" , 3:55 , 5 , 14 , "Linz" , "Austria"
200918 , "Helicopter" , "Bloc Party" , 3:40 , 6 , 13 , "Linz" , "Austria"
200918 , "Every You Every Me" , "Placebo" , 3:32 , 7 , 13 , "Linz" , "Austria"
200918 , "Haus am See" , "Peter Fox" , 3:36 , 8 , 12 , "Linz" , "Austria"
200918 , "Give It All" , "Rise Against" , 2:50 , 9 , 12 , "Linz" , "Austria"
200918 , "Gives You Hell" , "The All-American Rejects" , 3:33 , 10 , 12 , "Linz" , "Austria"
200918 , "Wire To Wire" , "Razorlight" , 2:55 , 11 , 12 , "Linz" , "Austria"
200918 , "Supermassive Black Hole" , "Muse" , 3:30 , 12 , 12 , "Linz" , "Austria"
200918 , "Der letzte Tag" , "Peter Fox" , 3:43 , 13 , 11 , "Linz" , "Austria"
200918 , "Starlight" , "Muse" , 4:00 , 14 , 11 , "Linz" , "Austria"
200918 , "I Bet You Look Good On The Dancefloor" , "Arctic Monkeys" , 2:55 , 15 , 11 , "Linz" , "Austria"
200918 , "Everlong" , "Foo Fighters" , 4:09 , 16 , 11 , "Linz" , "Austria"
200918 , "Alles Neu" , "Peter Fox" , 4:10 , 17 , 11 , "Linz" , "Austria"
200918 , "No One Knows" , "Queens of the Stone Age" , 4:41 , 18 , 11 , "Linz" , "Austria"
200918 , "The Fear" , "Lily Allen" , 3:29 , 19 , 10 , "Linz" , "Austria"
200918 , "Fans" , "Kings of Leon" , 3:36 , 20 , 10 , "Linz" , "Austria"
200918 , "Use Somebody" , "Kings of Leon" , 3:50 , 1 , 41 , "Graz" , "Austria"
200918 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 35 , "Graz" , "Austria"
200918 , "Kids" , "MGMT" , 5:03 , 3 , 32 , "Graz" , "Austria"
200918 , "Time To Pretend" , "MGMT" , 4:22 , 4 , 30 , "Graz" , "Austria"
200918 , "Viva La Vida" , "Coldplay" , 4:00 , 5 , 27 , "Graz" , "Austria"
200918 , "Alles Neu" , "Peter Fox" , 4:10 , 6 , 27 , "Graz" , "Austria"
200918 , "Invaders Must Die" , "The Prodigy" , 4:55 , 7 , 26 , "Graz" , "Austria"
200918 , "Supermassive Black Hole" , "Muse" , 3:30 , 8 , 25 , "Graz" , "Austria"
200918 , "Der letzte Tag" , "Peter Fox" , 3:43 , 9 , 25 , "Graz" , "Austria"
200918 , "Closer" , "Kings of Leon" , 3:56 , 10 , 24 , "Graz" , "Austria"
200918 , "Omen" , "The Prodigy" , 3:55 , 11 , 24 , "Graz" , "Austria"
200918 , "That's Not My Name" , "The Ting Tings" , 5:11 , 12 , 24 , "Graz" , "Austria"
200918 , "Schwarz zu blau" , "Peter Fox" , 3:34 , 13 , 24 , "Graz" , "Austria"
200918 , "Ein Kompliment" , "Sportfreunde Stiller" , 3:17 , 14 , 23 , "Graz" , "Austria"
200918 , "Haus am See" , "Peter Fox" , 3:36 , 15 , 22 , "Graz" , "Austria"
