200929 , "Skinny Love" , "Bon Iver" , 3:57 , 1 , 114 , "Melbourne" , "Australia"
200929 , "Lisztomania" , "Phoenix" , 4:00 , 2 , 105 , "Melbourne" , "Australia"
200929 , "1901" , "Phoenix" , 3:12 , 3 , 103 , "Melbourne" , "Australia"
200929 , "Kids" , "MGMT" , 5:03 , 4 , 101 , "Melbourne" , "Australia"
200929 , "Paparazzi" , "Lady Gaga" , 3:29 , 5 , 96 , "Melbourne" , "Australia"
200929 , "Electric Feel" , "MGMT" , 3:49 , 6 , 91 , "Melbourne" , "Australia"
200929 , "Smells Like Teen Spirit" , "Nirvana" , 5:02 , 7 , 89 , "Melbourne" , "Australia"
200929 , "I Gotta Feeling" , "Black Eyed Peas" , 4:49 , 8 , 88 , "Melbourne" , "Australia"
200929 , "Billie Jean" , "Michael Jackson" , 4:53 , 9 , 87 , "Melbourne" , "Australia"
200929 , "Supermassive Black Hole" , "Muse" , 3:30 , 10 , 87 , "Melbourne" , "Australia"
200929 , "Time To Pretend" , "MGMT" , 4:22 , 11 , 85 , "Melbourne" , "Australia"
200929 , "Paranoid Android" , "Radiohead" , 6:27 , 12 , 84 , "Melbourne" , "Australia"
200929 , "Sex On Fire" , "Kings of Leon" , 3:25 , 13 , 83 , "Melbourne" , "Australia"
200929 , "Time Is Running Out" , "Muse" , 3:56 , 14 , 82 , "Melbourne" , "Australia"
200929 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 15 , 82 , "Melbourne" , "Australia"
200929 , "Hallelujah" , "Jeff Buckley" , 6:53 , 16 , 80 , "Melbourne" , "Australia"
200929 , "The Fear" , "Lily Allen" , 3:29 , 17 , 80 , "Melbourne" , "Australia"
200929 , "Starlight" , "Muse" , 4:00 , 18 , 79 , "Melbourne" , "Australia"
200929 , "Karma Police" , "Radiohead" , 4:19 , 19 , 78 , "Melbourne" , "Australia"
200929 , "Banquet" , "Bloc Party" , 3:20 , 20 , 77 , "Melbourne" , "Australia"
200929 , "Love Will Tear Us Apart" , "Joy Division" , 3:27 , 1 , 38 , "Adelaide" , "Australia"
200929 , "Kids" , "MGMT" , 5:03 , 2 , 38 , "Adelaide" , "Australia"
200929 , "Billie Jean" , "Michael Jackson" , 4:53 , 3 , 38 , "Adelaide" , "Australia"
200929 , "Skinny Love" , "Bon Iver" , 3:57 , 4 , 38 , "Adelaide" , "Australia"
200929 , "Knights of Cydonia" , "Muse" , 6:07 , 5 , 38 , "Adelaide" , "Australia"
200929 , "Electric Feel" , "MGMT" , 3:49 , 6 , 37 , "Adelaide" , "Australia"
200929 , "Time To Pretend" , "MGMT" , 4:22 , 7 , 37 , "Adelaide" , "Australia"
200929 , "Misery Business" , "Paramore" , 3:31 , 8 , 35 , "Adelaide" , "Australia"
200929 , "The Fear" , "Lily Allen" , 3:29 , 9 , 35 , "Adelaide" , "Australia"
200929 , "Karma Police" , "Radiohead" , 4:19 , 10 , 34 , "Adelaide" , "Australia"
200929 , "Supermassive Black Hole" , "Muse" , 3:30 , 11 , 33 , "Adelaide" , "Australia"
200929 , "Fake Plastic Trees" , "Radiohead" , 4:09 , 12 , 33 , "Adelaide" , "Australia"
200929 , "Paranoid Android" , "Radiohead" , 6:27 , 13 , 33 , "Adelaide" , "Australia"
200929 , "Paparazzi" , "Lady Gaga" , 3:29 , 14 , 31 , "Adelaide" , "Australia"
200929 , "Smells Like Teen Spirit" , "Nirvana" , 5:02 , 15 , 31 , "Adelaide" , "Australia"
200929 , "Starlight" , "Muse" , 4:00 , 16 , 31 , "Adelaide" , "Australia"
200929 , "Lisztomania" , "Phoenix" , 4:00 , 17 , 31 , "Adelaide" , "Australia"
200929 , "Everlong" , "Foo Fighters" , 4:09 , 18 , 29 , "Adelaide" , "Australia"
200929 , "All I Want" , "Sarah Blasko" , 3:53 , 19 , 29 , "Adelaide" , "Australia"
200929 , "Time Is Running Out" , "Muse" , 3:56 , 20 , 28 , "Adelaide" , "Australia"
200929 , "Skinny Love" , "Bon Iver" , 3:57 , 1 , 131 , "Sydney" , "Australia"
200929 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 126 , "Sydney" , "Australia"
200929 , "Viva La Vida" , "Coldplay" , 4:00 , 3 , 122 , "Sydney" , "Australia"
200929 , "Supermassive Black Hole" , "Muse" , 3:30 , 4 , 115 , "Sydney" , "Australia"
200929 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 5 , 113 , "Sydney" , "Australia"
200929 , "Kids" , "MGMT" , 5:03 , 6 , 111 , "Sydney" , "Australia"
200929 , "Paparazzi" , "Lady Gaga" , 3:29 , 7 , 110 , "Sydney" , "Australia"
200929 , "Billie Jean" , "Michael Jackson" , 4:53 , 8 , 109 , "Sydney" , "Australia"
200929 , "Karma Police" , "Radiohead" , 4:19 , 9 , 106 , "Sydney" , "Australia"
200929 , "Lisztomania" , "Phoenix" , 4:00 , 10 , 103 , "Sydney" , "Australia"
200929 , "Time To Pretend" , "MGMT" , 4:22 , 11 , 102 , "Sydney" , "Australia"
200929 , "Beat It" , "Michael Jackson" , 4:17 , 12 , 101 , "Sydney" , "Australia"
200929 , "Thriller" , "Michael Jackson" , 5:12 , 13 , 100 , "Sydney" , "Australia"
200929 , "Electric Feel" , "MGMT" , 3:49 , 14 , 98 , "Sydney" , "Australia"
200929 , "The Fear" , "Lily Allen" , 3:29 , 15 , 96 , "Sydney" , "Australia"
200929 , "1901" , "Phoenix" , 3:12 , 16 , 96 , "Sydney" , "Australia"
200929 , "Knights of Cydonia" , "Muse" , 6:07 , 17 , 96 , "Sydney" , "Australia"
200929 , "Not Fair" , "Lily Allen" , 3:21 , 18 , 96 , "Sydney" , "Australia"
200929 , "Banquet" , "Bloc Party" , 3:20 , 19 , 94 , "Sydney" , "Australia"
200929 , "Use Somebody" , "Kings of Leon" , 3:50 , 20 , 93 , "Sydney" , "Australia"
200929 , "Alles Neu" , "Peter Fox" , 4:10 , 1 , 10 , "Linz" , "Austria"
200929 , "Time To Pretend" , "MGMT" , 4:22 , 2 , 9 , "Linz" , "Austria"
200929 , "Arbeit nervt" , "Deichkind" , 3:19 , 3 , 8 , "Linz" , "Austria"
200929 , "Jungle Drum" , "Emiliana Torrini" , 2:09 , 4 , 8 , "Linz" , "Austria"
200929 , "Use Somebody" , "Kings of Leon" , 3:50 , 5 , 8 , "Linz" , "Austria"
200929 , "Special K" , "Placebo" , 3:50 , 6 , 8 , "Linz" , "Austria"
200929 , "Great DJ" , "The Ting Tings" , 3:23 , 7 , 8 , "Linz" , "Austria"
200929 , "I Gotta Feeling" , "Black Eyed Peas" , 4:49 , 8 , 8 , "Linz" , "Austria"
200929 , "Battle For The Sun" , "Placebo" , 5:33 , 9 , 7 , "Linz" , "Austria"
200929 , "Varyags of Miklagaard" , "Amon Amarth" , 4:17 , 10 , 7 , "Linz" , "Austria"
200929 , "Nothing Else Matters" , "Metallica" , 6:29 , 11 , 7 , "Linz" , "Austria"
200929 , "Omen" , "The Prodigy" , 3:55 , 12 , 7 , "Linz" , "Austria"
200929 , "Swing Life Away" , "Rise Against" , 3:20 , 13 , 7 , "Linz" , "Austria"
200929 , "That's Not My Name" , "The Ting Tings" , 5:11 , 14 , 7 , "Linz" , "Austria"
200929 , "Starlight" , "Muse" , 4:00 , 15 , 7 , "Linz" , "Austria"
200929 , "Luftbahn" , "Deichkind" , 4:21 , 16 , 7 , "Linz" , "Austria"
200929 , "Free Will Sacrifice" , "Amon Amarth" , 4:07 , 17 , 6 , "Linz" , "Austria"
200929 , "Remmidemmi (Yippie Yippie Yeah)" , "Deichkind" , 4:43 , 18 , 6 , "Linz" , "Austria"
