200931 , "1901" , "Phoenix" , 3:12 , 1 , 172 , "Melbourne" , "Australia"
200931 , "Lisztomania" , "Phoenix" , 4:00 , 2 , 162 , "Melbourne" , "Australia"
200931 , "Fences" , "Phoenix" , 3:44 , 3 , 123 , "Melbourne" , "Australia"
200931 , "Skinny Love" , "Bon Iver" , 3:57 , 4 , 120 , "Melbourne" , "Australia"
200931 , "Rome" , "Phoenix" , 4:37 , 5 , 116 , "Melbourne" , "Australia"
200931 , "Lasso" , "Phoenix" , 2:47 , 6 , 115 , "Melbourne" , "Australia"
200931 , "Girlfriend" , "Phoenix" , 3:23 , 7 , 106 , "Melbourne" , "Australia"
200931 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 8 , 105 , "Melbourne" , "Australia"
200931 , "Paparazzi" , "Lady Gaga" , 3:29 , 9 , 105 , "Melbourne" , "Australia"
200931 , "Armistice" , "Phoenix" , 3:04 , 10 , 104 , "Melbourne" , "Australia"
200931 , "Supermassive Black Hole" , "Muse" , 3:30 , 11 , 101 , "Melbourne" , "Australia"
200931 , "Kids" , "MGMT" , 5:03 , 12 , 100 , "Melbourne" , "Australia"
200931 , "Two Weeks" , "Grizzly Bear" , 4:03 , 13 , 96 , "Melbourne" , "Australia"
200931 , "Karma Police" , "Radiohead" , 4:19 , 14 , 95 , "Melbourne" , "Australia"
200931 , "Electric Feel" , "MGMT" , 3:49 , 15 , 91 , "Melbourne" , "Australia"
200931 , "The Fear" , "Lily Allen" , 3:29 , 16 , 90 , "Melbourne" , "Australia"
200931 , "I Gotta Feeling" , "Black Eyed Peas" , 4:49 , 17 , 89 , "Melbourne" , "Australia"
200931 , "Time Is Running Out" , "Muse" , 3:56 , 18 , 87 , "Melbourne" , "Australia"
200931 , "Knights of Cydonia" , "Muse" , 6:07 , 19 , 86 , "Melbourne" , "Australia"
200931 , "Not Fair" , "Lily Allen" , 3:21 , 20 , 85 , "Melbourne" , "Australia"
200931 , "Lisztomania" , "Phoenix" , 4:00 , 1 , 42 , "Adelaide" , "Australia"
200931 , "1901" , "Phoenix" , 3:12 , 2 , 41 , "Adelaide" , "Australia"
200931 , "Paparazzi" , "Lady Gaga" , 3:29 , 3 , 36 , "Adelaide" , "Australia"
200931 , "Creep" , "Radiohead" , 3:58 , 4 , 35 , "Adelaide" , "Australia"
200931 , "Viva La Vida" , "Coldplay" , 4:00 , 5 , 34 , "Adelaide" , "Australia"
200931 , "Wonderwall" , "Oasis" , 4:18 , 6 , 33 , "Adelaide" , "Australia"
200931 , "Coin Laundry" , "Lisa Mitchell" , 3:11 , 7 , 33 , "Adelaide" , "Australia"
200931 , "Sex On Fire" , "Kings of Leon" , 3:25 , 8 , 33 , "Adelaide" , "Australia"
200931 , "Skinny Love" , "Bon Iver" , 3:57 , 9 , 33 , "Adelaide" , "Australia"
200931 , "Supermassive Black Hole" , "Muse" , 3:30 , 10 , 33 , "Adelaide" , "Australia"
200931 , "Two Weeks" , "Grizzly Bear" , 4:03 , 11 , 32 , "Adelaide" , "Australia"
200931 , "Lithium" , "Nirvana" , 4:17 , 12 , 32 , "Adelaide" , "Australia"
200931 , "Chase That Feeling" , "Hilltop Hoods" , 3:28 , 13 , 31 , "Adelaide" , "Australia"
200931 , "Not Fair" , "Lily Allen" , 3:21 , 14 , 31 , "Adelaide" , "Australia"
200931 , "Bulletproof" , "La Roux" , 3:17 , 15 , 30 , "Adelaide" , "Australia"
200931 , "Come as You Are" , "Nirvana" , 3:39 , 16 , 30 , "Adelaide" , "Australia"
200931 , "Lasso" , "Phoenix" , 2:47 , 17 , 30 , "Adelaide" , "Australia"
200931 , "Time Is Running Out" , "Muse" , 3:56 , 18 , 29 , "Adelaide" , "Australia"
200931 , "Kids" , "MGMT" , 5:03 , 19 , 29 , "Adelaide" , "Australia"
200931 , "Girlfriend" , "Phoenix" , 3:23 , 20 , 29 , "Adelaide" , "Australia"
200931 , "Lisztomania" , "Phoenix" , 4:00 , 1 , 158 , "Sydney" , "Australia"
200931 , "1901" , "Phoenix" , 3:12 , 2 , 156 , "Sydney" , "Australia"
200931 , "Skinny Love" , "Bon Iver" , 3:57 , 3 , 132 , "Sydney" , "Australia"
200931 , "Viva La Vida" , "Coldplay" , 4:00 , 4 , 127 , "Sydney" , "Australia"
200931 , "Kids" , "MGMT" , 5:03 , 5 , 122 , "Sydney" , "Australia"
200931 , "Supermassive Black Hole" , "Muse" , 3:30 , 6 , 119 , "Sydney" , "Australia"
