200950 , "My Girls" , "Animal Collective" , 5:41 , 1 , 196 , "Melbourne" , "Australia"
200950 , "Bad Romance" , "Lady Gaga" , 4:55 , 2 , 193 , "Melbourne" , "Australia"
200950 , "Lisztomania" , "Phoenix" , 4:00 , 3 , 193 , "Melbourne" , "Australia"
200950 , "1901" , "Phoenix" , 3:12 , 4 , 190 , "Melbourne" , "Australia"
200950 , "Crystalised" , "The xx" , 3:22 , 5 , 154 , "Melbourne" , "Australia"
200950 , "Islands" , "The xx" , 2:41 , 6 , 153 , "Melbourne" , "Australia"
200950 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 7 , 149 , "Melbourne" , "Australia"
200950 , "Summertime Clothes" , "Animal Collective" , 4:30 , 8 , 147 , "Melbourne" , "Australia"
200950 , "Fireflies" , "Owl City" , 3:45 , 9 , 146 , "Melbourne" , "Australia"
200950 , "Uprising" , "Muse" , 3:35 , 10 , 137 , "Melbourne" , "Australia"
200950 , "Two Weeks" , "Grizzly Bear" , 4:03 , 11 , 136 , "Melbourne" , "Australia"
200950 , "Skinny Love" , "Bon Iver" , 3:57 , 12 , 133 , "Melbourne" , "Australia"
200950 , "Heart Skipped a Beat" , "The xx" , 4:02 , 13 , 132 , "Melbourne" , "Australia"
200950 , "TiK ToK" , "Ke$ha" , 3:15 , 14 , 129 , "Melbourne" , "Australia"
200950 , "VCR" , "The xx" , 2:56 , 15 , 129 , "Melbourne" , "Australia"
200950 , "Heads Will Roll" , "Yeah Yeah Yeahs" , 3:42 , 16 , 125 , "Melbourne" , "Australia"
200950 , "Paparazzi" , "Lady Gaga" , 3:29 , 17 , 125 , "Melbourne" , "Australia"
200950 , "Intro" , "The xx" , 2:05 , 18 , 124 , "Melbourne" , "Australia"
200950 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 19 , 121 , "Melbourne" , "Australia"
200950 , "Fences" , "Phoenix" , 3:44 , 20 , 121 , "Melbourne" , "Australia"
200950 , "Bad Romance" , "Lady Gaga" , 4:55 , 1 , 63 , "Adelaide" , "Australia"
200950 , "1901" , "Phoenix" , 3:12 , 2 , 51 , "Adelaide" , "Australia"
200950 , "Fireflies" , "Owl City" , 3:45 , 3 , 49 , "Adelaide" , "Australia"
200950 , "Uprising" , "Muse" , 3:35 , 4 , 47 , "Adelaide" , "Australia"
200950 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 5 , 45 , "Adelaide" , "Australia"
200950 , "Paparazzi" , "Lady Gaga" , 3:29 , 6 , 45 , "Adelaide" , "Australia"
200950 , "Lisztomania" , "Phoenix" , 4:00 , 7 , 45 , "Adelaide" , "Australia"
200950 , "My Girls" , "Animal Collective" , 5:41 , 8 , 45 , "Adelaide" , "Australia"
200950 , "Bulletproof" , "La Roux" , 3:17 , 9 , 44 , "Adelaide" , "Australia"
200950 , "Brick by Boring Brick" , "Paramore" , 4:12 , 10 , 42 , "Adelaide" , "Australia"
200950 , "Sleepyhead" , "Passion Pit" , 2:54 , 11 , 41 , "Adelaide" , "Australia"
200950 , "Crystalised" , "The xx" , 3:22 , 12 , 40 , "Adelaide" , "Australia"
200950 , "TiK ToK" , "Ke$ha" , 3:15 , 13 , 39 , "Adelaide" , "Australia"
200950 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 14 , 39 , "Adelaide" , "Australia"
200950 , "Islands" , "The xx" , 2:41 , 15 , 39 , "Adelaide" , "Australia"
200950 , "Poker Face" , "Lady Gaga" , 3:56 , 16 , 38 , "Adelaide" , "Australia"
200950 , "Undisclosed Desires" , "Muse" , 3:55 , 17 , 37 , "Adelaide" , "Australia"
200950 , "Supermassive Black Hole" , "Muse" , 3:30 , 18 , 36 , "Adelaide" , "Australia"
200950 , "Ignorance" , "Paramore" , 3:39 , 19 , 35 , "Adelaide" , "Australia"
200950 , "Two Weeks" , "Grizzly Bear" , 4:03 , 20 , 35 , "Adelaide" , "Australia"
200950 , "Bad Romance" , "Lady Gaga" , 4:55 , 1 , 210 , "Sydney" , "Australia"
200950 , "Fireflies" , "Owl City" , 3:45 , 2 , 182 , "Sydney" , "Australia"
200950 , "My Girls" , "Animal Collective" , 5:41 , 3 , 157 , "Sydney" , "Australia"
200950 , "Islands" , "The xx" , 2:41 , 4 , 152 , "Sydney" , "Australia"
200950 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 5 , 151 , "Sydney" , "Australia"
200950 , "TiK ToK" , "Ke$ha" , 3:15 , 6 , 151 , "Sydney" , "Australia"
200950 , "1901" , "Phoenix" , 3:12 , 7 , 148 , "Sydney" , "Australia"
200950 , "Two Weeks" , "Grizzly Bear" , 4:03 , 8 , 146 , "Sydney" , "Australia"
200950 , "Crystalised" , "The xx" , 3:22 , 9 , 144 , "Sydney" , "Australia"
200950 , "Bulletproof" , "La Roux" , 3:17 , 10 , 143 , "Sydney" , "Australia"
200950 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 11 , 143 , "Sydney" , "Australia"
200950 , "Skinny Love" , "Bon Iver" , 3:57 , 12 , 137 , "Sydney" , "Australia"
200950 , "Lisztomania" , "Phoenix" , 4:00 , 13 , 136 , "Sydney" , "Australia"
200950 , "Poker Face" , "Lady Gaga" , 3:56 , 14 , 128 , "Sydney" , "Australia"
200950 , "Paparazzi" , "Lady Gaga" , 3:29 , 15 , 127 , "Sydney" , "Australia"
200950 , "Uprising" , "Muse" , 3:35 , 16 , 124 , "Sydney" , "Australia"
