200951 , "Fireflies" , "Owl City" , 3:45 , 1 , 185 , "Melbourne" , "Australia"
200951 , "Bad Romance" , "Lady Gaga" , 4:55 , 2 , 181 , "Melbourne" , "Australia"
200951 , "1901" , "Phoenix" , 3:12 , 3 , 174 , "Melbourne" , "Australia"
200951 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 4 , 170 , "Melbourne" , "Australia"
200951 , "Lisztomania" , "Phoenix" , 4:00 , 5 , 166 , "Melbourne" , "Australia"
200951 , "My Girls" , "Animal Collective" , 5:41 , 6 , 152 , "Melbourne" , "Australia"
200951 , "Two Weeks" , "Grizzly Bear" , 4:03 , 7 , 148 , "Melbourne" , "Australia"
200951 , "TiK ToK" , "Ke$ha" , 3:15 , 8 , 144 , "Melbourne" , "Australia"
200951 , "Islands" , "The xx" , 2:41 , 9 , 144 , "Melbourne" , "Australia"
200951 , "Crystalised" , "The xx" , 3:22 , 10 , 131 , "Melbourne" , "Australia"
200951 , "Uprising" , "Muse" , 3:35 , 11 , 130 , "Melbourne" , "Australia"
200951 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 12 , 124 , "Melbourne" , "Australia"
200951 , "Poker Face" , "Lady Gaga" , 3:56 , 13 , 119 , "Melbourne" , "Australia"
200951 , "Paparazzi" , "Lady Gaga" , 3:29 , 14 , 114 , "Melbourne" , "Australia"
200951 , "Heart Skipped a Beat" , "The xx" , 4:02 , 15 , 113 , "Melbourne" , "Australia"
200951 , "Sleepyhead" , "Passion Pit" , 2:54 , 16 , 112 , "Melbourne" , "Australia"
200951 , "Heads Will Roll" , "Yeah Yeah Yeahs" , 3:42 , 17 , 111 , "Melbourne" , "Australia"
200951 , "VCR" , "The xx" , 2:56 , 18 , 109 , "Melbourne" , "Australia"
200951 , "Fences" , "Phoenix" , 3:44 , 19 , 109 , "Melbourne" , "Australia"
200951 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 20 , 106 , "Melbourne" , "Australia"
200951 , "1901" , "Phoenix" , 3:12 , 1 , 64 , "Adelaide" , "Australia"
200951 , "Lisztomania" , "Phoenix" , 4:00 , 2 , 55 , "Adelaide" , "Australia"
200951 , "Fireflies" , "Owl City" , 3:45 , 3 , 54 , "Adelaide" , "Australia"
200951 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 4 , 52 , "Adelaide" , "Australia"
200951 , "Bulletproof" , "La Roux" , 3:17 , 5 , 50 , "Adelaide" , "Australia"
200951 , "Bad Romance" , "Lady Gaga" , 4:55 , 6 , 49 , "Adelaide" , "Australia"
200951 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 7 , 47 , "Adelaide" , "Australia"
200951 , "My Girls" , "Animal Collective" , 5:41 , 8 , 47 , "Adelaide" , "Australia"
200951 , "Islands" , "The xx" , 2:41 , 9 , 45 , "Adelaide" , "Australia"
200951 , "Crystalised" , "The xx" , 3:22 , 10 , 44 , "Adelaide" , "Australia"
200951 , "Heads Will Roll" , "Yeah Yeah Yeahs" , 3:42 , 11 , 42 , "Adelaide" , "Australia"
200951 , "Fences" , "Phoenix" , 3:44 , 12 , 39 , "Adelaide" , "Australia"
200951 , "Brick by Boring Brick" , "Paramore" , 4:12 , 13 , 39 , "Adelaide" , "Australia"
200951 , "Uprising" , "Muse" , 3:35 , 14 , 38 , "Adelaide" , "Australia"
200951 , "A-Punk" , "Vampire Weekend" , 2:17 , 15 , 38 , "Adelaide" , "Australia"
200951 , "VCR" , "The xx" , 2:56 , 16 , 36 , "Adelaide" , "Australia"
200951 , "Lasso" , "Phoenix" , 2:47 , 17 , 36 , "Adelaide" , "Australia"
200951 , "Summertime Clothes" , "Animal Collective" , 4:30 , 18 , 36 , "Adelaide" , "Australia"
200951 , "Skinny Love" , "Bon Iver" , 3:57 , 19 , 36 , "Adelaide" , "Australia"
