201005 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 1 , 185 , "Melbourne" , "Australia"
201005 , "Islands" , "The xx" , 2:41 , 2 , 179 , "Melbourne" , "Australia"
201005 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 3 , 178 , "Melbourne" , "Australia"
201005 , "1901" , "Phoenix" , 3:12 , 4 , 177 , "Melbourne" , "Australia"
201005 , "Crystalised" , "The xx" , 3:22 , 5 , 168 , "Melbourne" , "Australia"
201005 , "Uprising" , "Muse" , 3:35 , 6 , 167 , "Melbourne" , "Australia"
201005 , "Bad Romance" , "Lady Gaga" , 4:55 , 7 , 163 , "Melbourne" , "Australia"
201005 , "Cousins" , "Vampire Weekend" , 2:25 , 8 , 161 , "Melbourne" , "Australia"
201005 , "Lisztomania" , "Phoenix" , 4:00 , 9 , 158 , "Melbourne" , "Australia"
201005 , "Undisclosed Desires" , "Muse" , 3:55 , 10 , 154 , "Melbourne" , "Australia"
201005 , "Fireflies" , "Owl City" , 3:45 , 11 , 148 , "Melbourne" , "Australia"
201005 , "Horchata" , "Vampire Weekend" , 3:27 , 12 , 145 , "Melbourne" , "Australia"
201005 , "Little Secrets" , "Passion Pit" , 3:58 , 13 , 134 , "Melbourne" , "Australia"
201005 , "Sleepyhead" , "Passion Pit" , 2:54 , 14 , 131 , "Melbourne" , "Australia"
201005 , "VCR" , "The xx" , 2:56 , 15 , 130 , "Melbourne" , "Australia"
201005 , "Two Weeks" , "Grizzly Bear" , 4:03 , 16 , 130 , "Melbourne" , "Australia"
201005 , "Heart Skipped a Beat" , "The xx" , 4:02 , 17 , 127 , "Melbourne" , "Australia"
201005 , "TiK ToK" , "Ke$ha" , 3:15 , 18 , 126 , "Melbourne" , "Australia"
201005 , "Poker Face" , "Lady Gaga" , 3:56 , 19 , 125 , "Melbourne" , "Australia"
201005 , "Intro" , "The xx" , 2:05 , 20 , 125 , "Melbourne" , "Australia"
201005 , "Lisztomania" , "Phoenix" , 4:00 , 1 , 63 , "Adelaide" , "Australia"
201005 , "Undisclosed Desires" , "Muse" , 3:55 , 2 , 58 , "Adelaide" , "Australia"
201005 , "1901" , "Phoenix" , 3:12 , 3 , 57 , "Adelaide" , "Australia"
