201029 , "Islands" , "The xx" , 2:41 , 1 , 122 , "Melbourne" , "Australia"
201029 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 2 , 122 , "Melbourne" , "Australia"
201029 , "Alejandro" , "Lady Gaga" , 4:33 , 3 , 121 , "Melbourne" , "Australia"
201029 , "Bad Romance" , "Lady Gaga" , 4:55 , 4 , 115 , "Melbourne" , "Australia"
201029 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 5 , 109 , "Melbourne" , "Australia"
201029 , "Skinny Love" , "Bon Iver" , 3:57 , 6 , 109 , "Melbourne" , "Australia"
201029 , "Crystalised" , "The xx" , 3:22 , 7 , 109 , "Melbourne" , "Australia"
201029 , "Paparazzi" , "Lady Gaga" , 3:29 , 8 , 104 , "Melbourne" , "Australia"
201029 , "Two Weeks" , "Grizzly Bear" , 4:03 , 9 , 98 , "Melbourne" , "Australia"
201029 , "VCR" , "The xx" , 2:56 , 10 , 94 , "Melbourne" , "Australia"
201029 , "Fader" , "The Temper Trap" , 3:13 , 11 , 93 , "Melbourne" , "Australia"
201029 , "Little Secrets" , "Passion Pit" , 3:58 , 12 , 92 , "Melbourne" , "Australia"
201029 , "Lisztomania" , "Phoenix" , 4:00 , 13 , 91 , "Melbourne" , "Australia"
201029 , "Sleepyhead" , "Passion Pit" , 2:54 , 14 , 91 , "Melbourne" , "Australia"
201029 , "Poker Face" , "Lady Gaga" , 3:56 , 15 , 91 , "Melbourne" , "Australia"
201029 , "Undisclosed Desires" , "Muse" , 3:55 , 16 , 91 , "Melbourne" , "Australia"
201029 , "Your Love Is My Drug" , "Ke$ha" , 3:06 , 17 , 88 , "Melbourne" , "Australia"
201029 , "Love Lost" , "The Temper Trap" , 3:37 , 18 , 86 , "Melbourne" , "Australia"
201029 , "1901" , "Phoenix" , 3:12 , 19 , 86 , "Melbourne" , "Australia"
201029 , "Uprising" , "Muse" , 3:35 , 20 , 85 , "Melbourne" , "Australia"
201029 , "Alejandro" , "Lady Gaga" , 4:33 , 1 , 40 , "Adelaide" , "Australia"
201029 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 2 , 39 , "Adelaide" , "Australia"
