201036 , "Ready To Start" , "Arcade Fire" , 4:14 , 1 , 224 , "Melbourne" , "Australia"
201036 , "Teenage Dream" , "Katy Perry" , 3:48 , 2 , 211 , "Melbourne" , "Australia"
201036 , "The Suburbs" , "Arcade Fire" , 5:14 , 3 , 211 , "Melbourne" , "Australia"
201036 , "Rococo" , "Arcade Fire" , 3:57 , 4 , 186 , "Melbourne" , "Australia"
201036 , "Modern Man" , "Arcade Fire" , 4:40 , 5 , 184 , "Melbourne" , "Australia"
201036 , "City With No Children" , "Arcade Fire" , 3:12 , 6 , 166 , "Melbourne" , "Australia"
201036 , "We Used to Wait" , "Arcade Fire" , 5:01 , 7 , 162 , "Melbourne" , "Australia"
201036 , "Empty Room" , "Arcade Fire" , 2:51 , 8 , 161 , "Melbourne" , "Australia"
201036 , "Sprawl II (Mountains Beyond Mountains)" , "Arcade Fire" , 5:17 , 9 , 158 , "Melbourne" , "Australia"
201036 , "Half Light I" , "Arcade Fire" , 4:14 , 10 , 157 , "Melbourne" , "Australia"
201036 , "Suburban War" , "Arcade Fire" , 4:40 , 11 , 155 , "Melbourne" , "Australia"
201036 , "Month of May" , "Arcade Fire" , 3:59 , 12 , 148 , "Melbourne" , "Australia"
201036 , "Half Light II (No Celebration)" , "Arcade Fire" , 4:25 , 13 , 145 , "Melbourne" , "Australia"
201036 , "Wasted Hours" , "Arcade Fire" , 3:19 , 14 , 145 , "Melbourne" , "Australia"
201036 , "Deep Blue" , "Arcade Fire" , 4:27 , 15 , 144 , "Melbourne" , "Australia"
201036 , "The Suburbs (Continued)" , "Arcade Fire" , 1:26 , 16 , 140 , "Melbourne" , "Australia"
201036 , "Dynamite" , "Taio Cruz" , 3:24 , 17 , 136 , "Melbourne" , "Australia"
201036 , "Lisztomania" , "Phoenix" , 4:00 , 18 , 136 , "Melbourne" , "Australia"
201036 , "Sweet Disposition" , "The Temper Trap" , 3:51 , 19 , 128 , "Melbourne" , "Australia"
201036 , "Islands" , "The xx" , 2:41 , 20 , 127 , "Melbourne" , "Australia"
201036 , "The Suburbs" , "Arcade Fire" , 5:14 , 1 , 53 , "Adelaide" , "Australia"
201036 , "Ready To Start" , "Arcade Fire" , 4:14 , 2 , 51 , "Adelaide" , "Australia"
201036 , "Teenage Dream" , "Katy Perry" , 3:48 , 3 , 51 , "Adelaide" , "Australia"
201036 , "Bad Romance" , "Lady Gaga" , 4:55 , 4 , 48 , "Adelaide" , "Australia"
201036 , "Modern Man" , "Arcade Fire" , 4:40 , 5 , 48 , "Adelaide" , "Australia"
201036 , "Rococo" , "Arcade Fire" , 3:57 , 6 , 45 , "Adelaide" , "Australia"
201036 , "Empty Room" , "Arcade Fire" , 2:51 , 7 , 44 , "Adelaide" , "Australia"
201036 , "Lisztomania" , "Phoenix" , 4:00 , 8 , 43 , "Adelaide" , "Australia"
201036 , "Islands" , "The xx" , 2:41 , 9 , 43 , "Adelaide" , "Australia"
201036 , "1901" , "Phoenix" , 3:12 , 10 , 41 , "Adelaide" , "Australia"
201036 , "City With No Children" , "Arcade Fire" , 3:12 , 11 , 40 , "Adelaide" , "Australia"
201036 , "Watercolour" , "Pendulum" , 3:30 , 12 , 39 , "Adelaide" , "Australia"
201036 , "Half Light II (No Celebration)" , "Arcade Fire" , 4:25 , 13 , 39 , "Adelaide" , "Australia"
201036 , "Crystalised" , "The xx" , 3:22 , 14 , 38 , "Adelaide" , "Australia"
201036 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 15 , 38 , "Adelaide" , "Australia"
201036 , "We Used to Wait" , "Arcade Fire" , 5:01 , 16 , 37 , "Adelaide" , "Australia"
201036 , "Half Light I" , "Arcade Fire" , 4:14 , 17 , 37 , "Adelaide" , "Australia"
