201121 , "Judas" , "Lady Gaga" , 4:12 , 1 , 229 , "Melbourne" , "Australia"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 2 , 213 , "Melbourne" , "Australia"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 3 , 211 , "Melbourne" , "Australia"
201121 , "The Edge of Glory" , "Lady Gaga" , 5:21 , 4 , 159 , "Melbourne" , "Australia"
201121 , "Marry the Night" , "Lady Gaga" , 4:24 , 5 , 158 , "Melbourne" , "Australia"
201121 , "Hair" , "Lady Gaga" , 5:08 , 6 , 157 , "Melbourne" , "Australia"
201121 , "Bloody Mary" , "Lady Gaga" , 4:05 , 7 , 157 , "Melbourne" , "Australia"
201121 , "Americano" , "Lady Gaga" , 4:07 , 8 , 155 , "Melbourne" , "Australia"
201121 , "Calgary" , "Bon Iver" , 4:09 , 9 , 153 , "Melbourne" , "Australia"
201121 , "Skinny Love" , "Bon Iver" , 3:57 , 10 , 144 , "Melbourne" , "Australia"
201121 , "Bad Kids" , "Lady Gaga" , 3:51 , 11 , 137 , "Melbourne" , "Australia"
201121 , "Set Fire to the Rain" , "Adele" , 4:01 , 12 , 134 , "Melbourne" , "Australia"
201121 , "Flume" , "Bon Iver" , 3:33 , 13 , 130 , "Melbourne" , "Australia"
201121 , "Someone Like You" , "Adele" , 4:44 , 14 , 130 , "Melbourne" , "Australia"
201121 , "Electric Chapel" , "Lady Gaga" , 4:12 , 15 , 129 , "Melbourne" , "Australia"
201121 , "Government Hooker" , "Lady Gaga" , 4:14 , 16 , 128 , "Melbourne" , "Australia"
201121 , "Perth" , "Bon Iver" , 4:21 , 17 , 119 , "Melbourne" , "Australia"
201121 , "Towers" , "Bon Iver" , 3:05 , 18 , 118 , "Melbourne" , "Australia"
201121 , "Holocene" , "Bon Iver" , 5:32 , 19 , 117 , "Melbourne" , "Australia"
201121 , "Lotus Flower" , "Radiohead" , 5:00 , 20 , 115 , "Melbourne" , "Australia"
201121 , "Judas" , "Lady Gaga" , 4:12 , 1 , 61 , "Adelaide" , "Australia"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 2 , 59 , "Adelaide" , "Australia"
201121 , "Hair" , "Lady Gaga" , 5:08 , 3 , 48 , "Adelaide" , "Australia"
201121 , "Americano" , "Lady Gaga" , 4:07 , 4 , 47 , "Adelaide" , "Australia"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 5 , 46 , "Adelaide" , "Australia"
201121 , "Marry the Night" , "Lady Gaga" , 4:24 , 6 , 45 , "Adelaide" , "Australia"
201121 , "Skinny Love" , "Bon Iver" , 3:57 , 7 , 44 , "Adelaide" , "Australia"
201121 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 8 , 44 , "Adelaide" , "Australia"
201121 , "Government Hooker" , "Lady Gaga" , 4:14 , 9 , 41 , "Adelaide" , "Australia"
201121 , "Bloody Mary" , "Lady Gaga" , 4:05 , 10 , 41 , "Adelaide" , "Australia"
201121 , "The Edge of Glory" , "Lady Gaga" , 5:21 , 11 , 39 , "Adelaide" , "Australia"
201121 , "Bad Kids" , "Lady Gaga" , 3:51 , 12 , 36 , "Adelaide" , "Australia"
201121 , "Calgary" , "Bon Iver" , 4:09 , 13 , 35 , "Adelaide" , "Australia"
201121 , "Electric Chapel" , "Lady Gaga" , 4:12 , 14 , 35 , "Adelaide" , "Australia"
201121 , "All of the Lights" , "Kanye West" , 5:00 , 15 , 33 , "Adelaide" , "Australia"
201121 , "Holocene" , "Bon Iver" , 5:32 , 16 , 33 , "Adelaide" , "Australia"
201121 , "Lump Sum" , "Bon Iver" , 3:20 , 17 , 33 , "Adelaide" , "Australia"
201121 , "Flume" , "Bon Iver" , 3:33 , 18 , 32 , "Adelaide" , "Australia"
201121 , "Heavy Metal Lover" , "Lady Gaga" , 4:13 , 19 , 31 , "Adelaide" , "Australia"
201121 , "Lotus Flower" , "Radiohead" , 5:00 , 20 , 31 , "Adelaide" , "Australia"
201121 , "Judas" , "Lady Gaga" , 4:12 , 1 , 202 , "Sydney" , "Australia"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 2 , 193 , "Sydney" , "Australia"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 3 , 181 , "Sydney" , "Australia"
201121 , "Calgary" , "Bon Iver" , 4:09 , 4 , 174 , "Sydney" , "Australia"
201121 , "Skinny Love" , "Bon Iver" , 3:57 , 5 , 165 , "Sydney" , "Australia"
201121 , "Americano" , "Lady Gaga" , 4:07 , 6 , 159 , "Sydney" , "Australia"
201121 , "Bloody Mary" , "Lady Gaga" , 4:05 , 7 , 155 , "Sydney" , "Australia"
201121 , "Marry the Night" , "Lady Gaga" , 4:24 , 8 , 150 , "Sydney" , "Australia"
201121 , "Hair" , "Lady Gaga" , 5:08 , 9 , 147 , "Sydney" , "Australia"
201121 , "The Edge of Glory" , "Lady Gaga" , 5:21 , 10 , 144 , "Sydney" , "Australia"
201121 , "Minnesota, WI" , "Bon Iver" , 3:48 , 11 , 141 , "Sydney" , "Australia"
201121 , "Holocene" , "Bon Iver" , 5:32 , 12 , 139 , "Sydney" , "Australia"
201121 , "Bad Kids" , "Lady Gaga" , 3:51 , 13 , 138 , "Sydney" , "Australia"
201121 , "Perth" , "Bon Iver" , 4:21 , 14 , 138 , "Sydney" , "Australia"
201121 , "Government Hooker" , "Lady Gaga" , 4:14 , 15 , 136 , "Sydney" , "Australia"
201121 , "Towers" , "Bon Iver" , 3:05 , 16 , 136 , "Sydney" , "Australia"
201121 , "Michicant" , "Bon Iver" , 3:42 , 17 , 134 , "Sydney" , "Australia"
201121 , "Flume" , "Bon Iver" , 3:33 , 18 , 132 , "Sydney" , "Australia"
201121 , "Electric Chapel" , "Lady Gaga" , 4:12 , 19 , 132 , "Sydney" , "Australia"
201121 , "Heavy Metal Lover" , "Lady Gaga" , 4:13 , 20 , 129 , "Sydney" , "Australia"
201121 , "Young Blood" , "The Naked and Famous" , 4:07 , 1 , 7 , "Linz" , "Austria"
201121 , "S&amp;M" , "Rihanna" , 4:01 , 2 , 7 , "Linz" , "Austria"
201121 , "Flume" , "Bon Iver" , 3:33 , 3 , 6 , "Linz" , "Austria"
201121 , "L.I.F.E.G.O.E.S.O.N." , "Noah and the Whale" , 3:48 , 4 , 6 , "Linz" , "Austria"
201121 , "Aaron" , "Paul Kalkbrenner" , 4:39 , 5 , 6 , "Linz" , "Austria"
201121 , "Crystalised" , "The xx" , 3:22 , 6 , 6 , "Linz" , "Austria"
201121 , "For Emma" , "Bon Iver" , 3:39 , 7 , 5 , "Linz" , "Austria"
201121 , "Sky and Sand" , "Paul Kalkbrenner" , 3:59 , 8 , 5 , "Linz" , "Austria"
201121 , "Radioactive" , "Kings of Leon" , 3:25 , 9 , 5 , "Linz" , "Austria"
201121 , "Mr. Brightside" , "The Killers" , 3:43 , 10 , 5 , "Linz" , "Austria"
201121 , "I Bet You Look Good On The Dancefloor" , "Arctic Monkeys" , 2:55 , 11 , 5 , "Linz" , "Austria"
201121 , "Dani California" , "Red Hot Chili Peppers" , 4:42 , 12 , 5 , "Linz" , "Austria"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 13 , 5 , "Linz" , "Austria"
201121 , "We Are The People" , "Empire of the Sun" , 4:29 , 14 , 5 , "Linz" , "Austria"
201121 , "Party Rock Anthem" , "LMFAO" , 4:22 , 15 , 5 , "Linz" , "Austria"
201121 , "Rock Me Amadeus" , "Falco" , 3:19 , 16 , 5 , "Linz" , "Austria"
201121 , "Heaven Nor Hell" , "Volbeat" , 5:23 , 17 , 5 , "Linz" , "Austria"
201121 , "My Hero" , "Foo Fighters" , 4:20 , 18 , 5 , "Linz" , "Austria"
201121 , "5 Years Time" , "Noah and the Whale" , 3:35 , 19 , 5 , "Linz" , "Austria"
201121 , "Monsta" , "Culcha Candela" , 3:16 , 20 , 5 , "Linz" , "Austria"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 13 , "Graz" , "Austria"
201121 , "Rope" , "Foo Fighters" , 4:18 , 2 , 12 , "Graz" , "Austria"
201121 , "Arlandria" , "Foo Fighters" , 4:27 , 3 , 12 , "Graz" , "Austria"
201121 , "Back &amp; Forth" , "Foo Fighters" , 3:51 , 4 , 12 , "Graz" , "Austria"
201121 , "Stairway To Heaven" , "Led Zeppelin" , 8:00 , 5 , 11 , "Graz" , "Austria"
201121 , "The Suburbs" , "Arcade Fire" , 5:14 , 6 , 11 , "Graz" , "Austria"
201121 , "Some Boys" , "Death Cab for Cutie" , 3:10 , 7 , 11 , "Graz" , "Austria"
201121 , "I Should Have Known" , "Foo Fighters" , 4:14 , 8 , 10 , "Graz" , "Austria"
201121 , "S&amp;M" , "Rihanna" , 4:01 , 9 , 10 , "Graz" , "Austria"
201121 , "White Limo" , "Foo Fighters" , 3:21 , 10 , 10 , "Graz" , "Austria"
201121 , "Codes And Keys" , "Death Cab for Cutie" , 3:21 , 11 , 10 , "Graz" , "Austria"
201121 , "The Cave" , "Mumford &amp; Sons" , 4:00 , 12 , 10 , "Graz" , "Austria"
201121 , "VCR" , "The xx" , 2:56 , 13 , 10 , "Graz" , "Austria"
201121 , "Intro" , "The xx" , 2:05 , 14 , 10 , "Graz" , "Austria"
201121 , "Walk" , "Foo Fighters" , 4:16 , 15 , 10 , "Graz" , "Austria"
201121 , "Winter Winds" , "Mumford &amp; Sons" , 3:48 , 16 , 10 , "Graz" , "Austria"
201121 , "These Days" , "Foo Fighters" , 4:58 , 17 , 10 , "Graz" , "Austria"
201121 , "Home Is A Fire" , "Death Cab for Cutie" , 4:04 , 18 , 10 , "Graz" , "Austria"
201121 , "Grenade" , "Bruno Mars" , 3:42 , 19 , 10 , "Graz" , "Austria"
201121 , "Bridge Burning" , "Foo Fighters" , 4:45 , 20 , 10 , "Graz" , "Austria"
201121 , "Young Blood" , "The Naked and Famous" , 4:07 , 1 , 77 , "Vienna" , "Austria"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 2 , 75 , "Vienna" , "Austria"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 3 , 71 , "Vienna" , "Austria"
201121 , "The Suburbs" , "Arcade Fire" , 5:14 , 4 , 61 , "Vienna" , "Austria"
201121 , "Judas" , "Lady Gaga" , 4:12 , 5 , 61 , "Vienna" , "Austria"
201121 , "Ready To Start" , "Arcade Fire" , 4:14 , 6 , 59 , "Vienna" , "Austria"
201121 , "Modern Man" , "Arcade Fire" , 4:40 , 7 , 49 , "Vienna" , "Austria"
201121 , "Use Somebody" , "Kings of Leon" , 3:50 , 8 , 49 , "Vienna" , "Austria"
201121 , "Rococo" , "Arcade Fire" , 3:57 , 9 , 49 , "Vienna" , "Austria"
201121 , "You Are A Tourist" , "Death Cab for Cutie" , 3:58 , 10 , 47 , "Vienna" , "Austria"
201121 , "Kids" , "MGMT" , 5:03 , 11 , 46 , "Vienna" , "Austria"
201121 , "Home Is A Fire" , "Death Cab for Cutie" , 4:04 , 12 , 46 , "Vienna" , "Austria"
201121 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 13 , 45 , "Vienna" , "Austria"
201121 , "Empty Room" , "Arcade Fire" , 2:51 , 14 , 45 , "Vienna" , "Austria"
201121 , "We Used to Wait" , "Arcade Fire" , 5:01 , 15 , 43 , "Vienna" , "Austria"
201121 , "Hair" , "Lady Gaga" , 5:08 , 16 , 42 , "Vienna" , "Austria"
201121 , "Suburban War" , "Arcade Fire" , 4:40 , 17 , 42 , "Vienna" , "Austria"
201121 , "Americano" , "Lady Gaga" , 4:07 , 18 , 42 , "Vienna" , "Austria"
201121 , "Like a Rolling Stone" , "Bob Dylan" , 6:06 , 19 , 42 , "Vienna" , "Austria"
201121 , "Sex On Fire" , "Kings of Leon" , 3:25 , 20 , 42 , "Vienna" , "Austria"
201121 , "Undercover Martyn" , "Two Door Cinema Club" , 2:48 , 1 , 6 , "Salzburg" , "Austria"
201121 , "Something Good Can Work" , "Two Door Cinema Club" , 2:44 , 2 , 5 , "Salzburg" , "Austria"
201121 , "Young Blood" , "The Naked and Famous" , 4:07 , 3 , 5 , "Salzburg" , "Austria"
201121 , "Jenny Was a Friend of Mine" , "The Killers" , 4:04 , 4 , 5 , "Salzburg" , "Austria"
201121 , "Crystalised" , "The xx" , 3:22 , 5 , 4 , "Salzburg" , "Austria"
201121 , "Clocks" , "Coldplay" , 4:10 , 6 , 4 , "Salzburg" , "Austria"
201121 , "Islands" , "The xx" , 2:41 , 7 , 4 , "Salzburg" , "Austria"
201121 , "Paranoid" , "Black Sabbath" , 2:47 , 8 , 4 , "Salzburg" , "Austria"
201121 , "Punching In A Dream" , "The Naked and Famous" , 3:34 , 9 , 4 , "Salzburg" , "Austria"
201121 , "Mosquito Song" , "Queens of the Stone Age" , 5:39 , 10 , 3 , "Salzburg" , "Austria"
201121 , "The Scientist" , "Coldplay" , 5:10 , 11 , 3 , "Salzburg" , "Austria"
201121 , "Bigmouth Strikes Again" , "The Smiths" , 3:13 , 12 , 3 , "Salzburg" , "Austria"
201121 , "Vienna" , "The Fray" , 4:07 , 13 , 3 , "Salzburg" , "Austria"
201121 , "What You Know" , "Two Door Cinema Club" , 3:11 , 14 , 3 , "Salzburg" , "Austria"
201121 , "Daylight" , "Coldplay" , 5:26 , 15 , 3 , "Salzburg" , "Austria"
201121 , "VCR" , "The xx" , 2:56 , 16 , 3 , "Salzburg" , "Austria"
201121 , "Knocked Up" , "Kings of Leon" , 7:10 , 17 , 3 , "Salzburg" , "Austria"
201121 , "Open Your Arms" , "Editors" , 5:58 , 18 , 3 , "Salzburg" , "Austria"
201121 , "More Than A Feeling" , "Boston" , 3:13 , 19 , 3 , "Salzburg" , "Austria"
201121 , "Queen of the Highway" , "The Doors" , 3:32 , 20 , 3 , "Salzburg" , "Austria"
201121 , "Judas" , "Lady Gaga" , 4:12 , 1 , 6 , "Innsbruck" , "Austria"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 2 , 6 , "Innsbruck" , "Austria"
201121 , "Americano" , "Lady Gaga" , 4:07 , 3 , 5 , "Innsbruck" , "Austria"
201121 , "Marry the Night" , "Lady Gaga" , 4:24 , 4 , 5 , "Innsbruck" , "Austria"
201121 , "Somebody Told Me" , "The Killers" , 3:17 , 5 , 5 , "Innsbruck" , "Austria"
201121 , "Skinny Love" , "Bon Iver" , 3:57 , 6 , 5 , "Innsbruck" , "Austria"
201121 , "Electric Chapel" , "Lady Gaga" , 4:12 , 7 , 5 , "Innsbruck" , "Austria"
201121 , "Hair" , "Lady Gaga" , 5:08 , 8 , 5 , "Innsbruck" , "Austria"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 9 , 5 , "Innsbruck" , "Austria"
201121 , "Mirrors" , "Natalia Kills" , 3:17 , 10 , 5 , "Innsbruck" , "Austria"
201121 , "Perth" , "Bon Iver" , 4:21 , 11 , 5 , "Innsbruck" , "Austria"
201121 , "No Way" , "The Naked and Famous" , 5:30 , 12 , 4 , "Innsbruck" , "Austria"
201121 , "Bad Kids" , "Lady Gaga" , 3:51 , 13 , 4 , "Innsbruck" , "Austria"
201121 , "Dark" , "Illdisposed" , 4:05 , 14 , 4 , "Innsbruck" , "Austria"
201121 , "Bloody Mary" , "Lady Gaga" , 4:05 , 15 , 4 , "Innsbruck" , "Austria"
201121 , "Government Hooker" , "Lady Gaga" , 4:14 , 16 , 4 , "Innsbruck" , "Austria"
201121 , "Like a Rolling Stone" , "Bob Dylan" , 6:06 , 17 , 4 , "Innsbruck" , "Austria"
201121 , "Little Lion Man" , "Mumford &amp; Sons" , 4:16 , 18 , 4 , "Innsbruck" , "Austria"
201121 , "Always Where I Need To Be" , "The Kooks" , 2:40 , 19 , 4 , "Innsbruck" , "Austria"
201121 , "Montezuma" , "Fleet Foxes" , 3:37 , 20 , 4 , "Innsbruck" , "Austria"
201121 , "Я верю" , "Ляпис Трубецкой" , 3:07 , 1 , 75 , "Minsk" , "Belarus"
201121 , "Африка" , "Ляпис Трубецкой" , 3:56 , 2 , 65 , "Minsk" , "Belarus"
201121 , "Грай" , "Ляпис Трубецкой" , 4:11 , 3 , 63 , "Minsk" , "Belarus"
201121 , "Принцесса" , "Ляпис Трубецкой" , 2:36 , 4 , 59 , "Minsk" , "Belarus"
201121 , "Supermassive Black Hole" , "Muse" , 3:30 , 5 , 54 , "Minsk" , "Belarus"
201121 , "Judas" , "Lady Gaga" , 4:12 , 6 , 54 , "Minsk" , "Belarus"
201121 , "Нафта" , "Ляпис Трубецкой" , 2:58 , 7 , 51 , "Minsk" , "Belarus"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 8 , 48 , "Minsk" , "Belarus"
201121 , "Космонавты" , "Ляпис Трубецкой" , 3:18 , 9 , 48 , "Minsk" , "Belarus"
201121 , "Зоопарк" , "Ляпис Трубецкой" , 2:38 , 10 , 48 , "Minsk" , "Belarus"
201121 , "Шут" , "Ляпис Трубецкой" , 3:23 , 11 , 45 , "Minsk" , "Belarus"
201121 , "Be the One" , "Moby" , 3:29 , 12 , 45 , "Minsk" , "Belarus"
201121 , "Sevastopol" , "Moby" , 4:21 , 13 , 45 , "Minsk" , "Belarus"
201121 , "The Broken Places" , "Moby" , 4:10 , 14 , 44 , "Minsk" , "Belarus"
201121 , "Starlight" , "Muse" , 4:00 , 15 , 44 , "Minsk" , "Belarus"
201121 , "Uprising" , "Muse" , 3:35 , 16 , 44 , "Minsk" , "Belarus"
201121 , "The Day" , "Moby" , 4:32 , 17 , 43 , "Minsk" , "Belarus"
201121 , "Зевс" , "Ляпис Трубецкой" , 3:22 , 18 , 43 , "Minsk" , "Belarus"
201121 , "Resistance" , "Muse" , 5:45 , 19 , 43 , "Minsk" , "Belarus"
201121 , "Smells Like Teen Spirit" , "Nirvana" , 5:02 , 20 , 41 , "Minsk" , "Belarus"
201121 , "Riverside" , "Agnes Obel" , 3:46 , 1 , 11 , "Liège" , "Belgium"
201121 , "Judas" , "Lady Gaga" , 4:12 , 2 , 9 , "Liège" , "Belgium"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 3 , 8 , "Liège" , "Belgium"
201121 , "Set Fire to the Rain" , "Adele" , 4:01 , 4 , 8 , "Liège" , "Belgium"
201121 , "A-Punk" , "Vampire Weekend" , 2:17 , 5 , 7 , "Liège" , "Belgium"
201121 , "Hair" , "Lady Gaga" , 5:08 , 6 , 6 , "Liège" , "Belgium"
201121 , "Song To Say Goodbye" , "Placebo" , 3:33 , 7 , 6 , "Liège" , "Belgium"
201121 , "As Long As It Takes" , "Isbells" , 3:33 , 8 , 6 , "Liège" , "Belgium"
201121 , "Americano" , "Lady Gaga" , 4:07 , 9 , 6 , "Liège" , "Belgium"
201121 , "Unfinished Sympathy" , "Massive Attack" , 5:14 , 10 , 6 , "Liège" , "Belgium"
201121 , "Sultans of Swing" , "Dire Straits" , 5:45 , 11 , 6 , "Liège" , "Belgium"
201121 , "Infinity" , "The xx" , 5:14 , 12 , 6 , "Liège" , "Belgium"
201121 , "Long Nights" , "Eddie Vedder" , 2:31 , 13 , 6 , "Liège" , "Belgium"
201121 , "Money for Nothing" , "Dire Straits" , 8:22 , 14 , 6 , "Liège" , "Belgium"
201121 , "Icon" , "Daan" , 2:52 , 15 , 6 , "Liège" , "Belgium"
