201134 , "Eyes Wide Open" , "Gotye" , 3:11 , 1 , 258 , "Melbourne" , "Australia"
201134 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 2 , 250 , "Melbourne" , "Australia"
201134 , "I Feel Better" , "Gotye" , 3:18 , 3 , 217 , "Melbourne" , "Australia"
201134 , "Smoke And Mirrors" , "Gotye" , 5:13 , 4 , 214 , "Melbourne" , "Australia"
201134 , "Making Mirrors" , "Gotye" , 1:01 , 5 , 211 , "Melbourne" , "Australia"
201134 , "Easy Way Out" , "Gotye" , 1:57 , 6 , 211 , "Melbourne" , "Australia"
201134 , "In Your Light" , "Gotye" , 4:39 , 7 , 202 , "Melbourne" , "Australia"
201134 , "Rolling in the Deep" , "Adele" , 3:46 , 8 , 192 , "Melbourne" , "Australia"
201134 , "State Of The Art" , "Gotye" , 5:21 , 9 , 183 , "Melbourne" , "Australia"
201134 , "Save Me" , "Gotye" , 3:51 , 10 , 180 , "Melbourne" , "Australia"
201134 , "Giving Me A Chance" , "Gotye" , 3:07 , 11 , 177 , "Melbourne" , "Australia"
201134 , "Bronte" , "Gotye" , 3:13 , 12 , 174 , "Melbourne" , "Australia"
201134 , "Someone Like You" , "Adele" , 4:44 , 13 , 168 , "Melbourne" , "Australia"
201134 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 14 , 145 , "Melbourne" , "Australia"
201134 , "Somebody That I Used to Know (feat. Kimbra)" , "Gotye" , 4:05 , 15 , 135 , "Melbourne" , "Australia"
201134 , "Set Fire to the Rain" , "Adele" , 4:01 , 16 , 117 , "Melbourne" , "Australia"
201134 , "Skinny Love" , "Bon Iver" , 3:57 , 17 , 109 , "Melbourne" , "Australia"
201134 , "Calgary" , "Bon Iver" , 4:09 , 18 , 106 , "Melbourne" , "Australia"
201134 , "The Suburbs" , "Arcade Fire" , 5:14 , 19 , 106 , "Melbourne" , "Australia"
201134 , "Perth" , "Bon Iver" , 4:21 , 20 , 106 , "Melbourne" , "Australia"
201134 , "Eyes Wide Open" , "Gotye" , 3:11 , 1 , 101 , "Adelaide" , "Australia"
201134 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 2 , 92 , "Adelaide" , "Australia"
201134 , "Easy Way Out" , "Gotye" , 1:57 , 3 , 82 , "Adelaide" , "Australia"
201134 , "Making Mirrors" , "Gotye" , 1:01 , 4 , 80 , "Adelaide" , "Australia"
201134 , "I Feel Better" , "Gotye" , 3:18 , 5 , 77 , "Adelaide" , "Australia"
201134 , "Smoke And Mirrors" , "Gotye" , 5:13 , 6 , 75 , "Adelaide" , "Australia"
201134 , "In Your Light" , "Gotye" , 4:39 , 7 , 70 , "Adelaide" , "Australia"
201134 , "State Of The Art" , "Gotye" , 5:21 , 8 , 70 , "Adelaide" , "Australia"
201134 , "Save Me" , "Gotye" , 3:51 , 9 , 67 , "Adelaide" , "Australia"
201134 , "Giving Me A Chance" , "Gotye" , 3:07 , 10 , 62 , "Adelaide" , "Australia"
201134 , "Bronte" , "Gotye" , 3:13 , 11 , 59 , "Adelaide" , "Australia"
201134 , "Rolling in the Deep" , "Adele" , 3:46 , 12 , 46 , "Adelaide" , "Australia"
201134 , "Somebody That I Used to Know (feat. Kimbra)" , "Gotye" , 4:05 , 13 , 45 , "Adelaide" , "Australia"
201134 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 14 , 43 , "Adelaide" , "Australia"
201134 , "Don't Worry We'll be Watching You" , "Gotye" , 3:06 , 15 , 40 , "Adelaide" , "Australia"
201134 , "Holocene" , "Bon Iver" , 5:32 , 16 , 31 , "Adelaide" , "Australia"
201134 , "Monarchy of Roses" , "Red Hot Chili Peppers" , 3:59 , 17 , 30 , "Adelaide" , "Australia"
201134 , "Hearts a Mess" , "Gotye" , 3:52 , 18 , 29 , "Adelaide" , "Australia"
201134 , "Skinny Love" , "Bon Iver" , 3:57 , 19 , 28 , "Adelaide" , "Australia"
201134 , "Perth" , "Bon Iver" , 4:21 , 20 , 28 , "Adelaide" , "Australia"
201134 , "Eyes Wide Open" , "Gotye" , 3:11 , 1 , 273 , "Sydney" , "Australia"
201134 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 2 , 245 , "Sydney" , "Australia"
201134 , "Smoke And Mirrors" , "Gotye" , 5:13 , 3 , 230 , "Sydney" , "Australia"
