201144 , "Paradise" , "Coldplay" , 4:38 , 1 , 161 , "Melbourne" , "Australia"
201144 , "Midnight City" , "M83" , 4:04 , 2 , 157 , "Melbourne" , "Australia"
201144 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 3 , 153 , "Melbourne" , "Australia"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 4 , 139 , "Melbourne" , "Australia"
201144 , "Rolling in the Deep" , "Adele" , 3:46 , 5 , 128 , "Melbourne" , "Australia"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 6 , 120 , "Melbourne" , "Australia"
201144 , "Shake It Out" , "Florence + the Machine" , 4:38 , 7 , 119 , "Melbourne" , "Australia"
201144 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 8 , 118 , "Melbourne" , "Australia"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 9 , 117 , "Melbourne" , "Australia"
201144 , "What the Water Gave Me" , "Florence + the Machine" , 5:34 , 10 , 115 , "Melbourne" , "Australia"
201144 , "Mylo Xyloto" , "Coldplay" , 0:42 , 11 , 108 , "Melbourne" , "Australia"
201144 , "Major Minus" , "Coldplay" , 3:30 , 12 , 105 , "Melbourne" , "Australia"
201144 , "Us Against the World" , "Coldplay" , 4:00 , 13 , 105 , "Melbourne" , "Australia"
201144 , "Reunion" , "M83" , 3:58 , 14 , 102 , "Melbourne" , "Australia"
201144 , "Skinny Love" , "Bon Iver" , 3:57 , 15 , 101 , "Melbourne" , "Australia"
201144 , "Eyes Wide Open" , "Gotye" , 3:11 , 16 , 101 , "Melbourne" , "Australia"
201144 , "Someone Like You" , "Adele" , 4:44 , 17 , 100 , "Melbourne" , "Australia"
201144 , "U.F.O." , "Coldplay" , 2:18 , 18 , 99 , "Melbourne" , "Australia"
201144 , "Set Fire to the Rain" , "Adele" , 4:01 , 19 , 98 , "Melbourne" , "Australia"
201144 , "Up in Flames" , "Coldplay" , 3:13 , 20 , 98 , "Melbourne" , "Australia"
201144 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 1 , 66 , "Adelaide" , "Australia"
201144 , "Paradise" , "Coldplay" , 4:38 , 2 , 45 , "Adelaide" , "Australia"
201144 , "Midnight City" , "M83" , 4:04 , 3 , 41 , "Adelaide" , "Australia"
201144 , "Shake It Out" , "Florence + the Machine" , 4:38 , 4 , 38 , "Adelaide" , "Australia"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 5 , 33 , "Adelaide" , "Australia"
201144 , "Rolling in the Deep" , "Adele" , 3:46 , 6 , 32 , "Adelaide" , "Australia"
201144 , "Helena Beat" , "Foster the People" , 4:33 , 7 , 31 , "Adelaide" , "Australia"
201144 , "What the Water Gave Me" , "Florence + the Machine" , 5:34 , 8 , 31 , "Adelaide" , "Australia"
201144 , "Only If For a Night" , "Florence + the Machine" , 4:58 , 9 , 31 , "Adelaide" , "Australia"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 10 , 30 , "Adelaide" , "Australia"
201144 , "Reunion" , "M83" , 3:58 , 11 , 30 , "Adelaide" , "Australia"
201144 , "Perth" , "Bon Iver" , 4:21 , 12 , 30 , "Adelaide" , "Australia"
201144 , "Someone Like You" , "Adele" , 4:44 , 13 , 28 , "Adelaide" , "Australia"
201144 , "Mylo Xyloto" , "Coldplay" , 0:42 , 14 , 28 , "Adelaide" , "Australia"
201144 , "Set Fire to the Rain" , "Adele" , 4:01 , 15 , 27 , "Adelaide" , "Australia"
201144 , "Eyes Wide Open" , "Gotye" , 3:11 , 16 , 27 , "Adelaide" , "Australia"
201144 , "Call It What You Want" , "Foster the People" , 3:58 , 17 , 27 , "Adelaide" , "Australia"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 18 , 27 , "Adelaide" , "Australia"
201144 , "Towers" , "Bon Iver" , 3:05 , 19 , 26 , "Adelaide" , "Australia"
201144 , "Houdini" , "Foster the People" , 3:22 , 20 , 26 , "Adelaide" , "Australia"
201144 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 1 , 184 , "Sydney" , "Australia"
201144 , "Paradise" , "Coldplay" , 4:38 , 2 , 169 , "Sydney" , "Australia"
201144 , "Rolling in the Deep" , "Adele" , 3:46 , 3 , 162 , "Sydney" , "Australia"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 4 , 151 , "Sydney" , "Australia"
201144 , "Midnight City" , "M83" , 4:04 , 5 , 147 , "Sydney" , "Australia"
201144 , "Shake It Out" , "Florence + the Machine" , 4:38 , 6 , 141 , "Sydney" , "Australia"
201144 , "Mylo Xyloto" , "Coldplay" , 0:42 , 7 , 136 , "Sydney" , "Australia"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 8 , 133 , "Sydney" , "Australia"
201144 , "Someone Like You" , "Adele" , 4:44 , 9 , 128 , "Sydney" , "Australia"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 10 , 127 , "Sydney" , "Australia"
201144 , "What the Water Gave Me" , "Florence + the Machine" , 5:34 , 11 , 127 , "Sydney" , "Australia"
201144 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 12 , 123 , "Sydney" , "Australia"
201144 , "Us Against the World" , "Coldplay" , 4:00 , 13 , 116 , "Sydney" , "Australia"
201144 , "Skinny Love" , "Bon Iver" , 3:57 , 14 , 116 , "Sydney" , "Australia"
201144 , "Set Fire to the Rain" , "Adele" , 4:01 , 15 , 115 , "Sydney" , "Australia"
201144 , "Major Minus" , "Coldplay" , 3:30 , 16 , 114 , "Sydney" , "Australia"
201144 , "Never Let Me Go" , "Florence + the Machine" , 4:32 , 17 , 111 , "Sydney" , "Australia"
201144 , "Only If For a Night" , "Florence + the Machine" , 4:58 , 18 , 110 , "Sydney" , "Australia"
201144 , "U.F.O." , "Coldplay" , 2:18 , 19 , 109 , "Sydney" , "Australia"
201144 , "Breaking Down" , "Florence + the Machine" , 3:49 , 20 , 107 , "Sydney" , "Australia"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 1 , 10 , "Linz" , "Austria"
201144 , "Sex On Fire" , "Kings of Leon" , 3:25 , 2 , 9 , "Linz" , "Austria"
201144 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 3 , 9 , "Linz" , "Austria"
201144 , "Party Rock Anthem" , "LMFAO" , 4:22 , 4 , 8 , "Linz" , "Austria"
201144 , "Use Somebody" , "Kings of Leon" , 3:50 , 5 , 7 , "Linz" , "Austria"
201144 , "Fix You" , "Coldplay" , 4:57 , 6 , 7 , "Linz" , "Austria"
201144 , "Invaders Must Die" , "The Prodigy" , 4:55 , 7 , 7 , "Linz" , "Austria"
201144 , "What You Want" , "Evanescence" , 3:41 , 8 , 7 , "Linz" , "Austria"
201144 , "Revelry" , "Kings of Leon" , 3:21 , 9 , 6 , "Linz" , "Austria"
201144 , "Paradise" , "Coldplay" , 4:38 , 10 , 6 , "Linz" , "Austria"
201144 , "Somebody Told Me" , "The Killers" , 3:17 , 11 , 6 , "Linz" , "Austria"
201144 , "Young Blood" , "The Naked and Famous" , 4:07 , 12 , 6 , "Linz" , "Austria"
201144 , "Duality" , "Slipknot" , 4:12 , 13 , 6 , "Linz" , "Austria"
201144 , "Brenna tuats guat" , "Hubert von Goisern" , 3:49 , 14 , 6 , "Linz" , "Austria"
201144 , "Viva La Vida" , "Coldplay" , 4:00 , 15 , 6 , "Linz" , "Austria"
