201219 , "Call Me Maybe" , "Carly Rae Jepsen" , 3:08 , 1 , 151 , "Melbourne" , "Australia"
201219 , "Midnight City" , "M83" , 4:04 , 2 , 137 , "Melbourne" , "Australia"
201219 , "Lonely Boy" , "The Black Keys" , 3:13 , 3 , 120 , "Melbourne" , "Australia"
201219 , "Oblivion" , "Grimes" , 4:11 , 4 , 113 , "Melbourne" , "Australia"
201219 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 5 , 112 , "Melbourne" , "Australia"
201219 , "Skinny Love" , "Bon Iver" , 3:57 , 6 , 111 , "Melbourne" , "Australia"
201219 , "Myth" , "Beach House" , 4:18 , 7 , 111 , "Melbourne" , "Australia"
201219 , "Video Games" , "Lana Del Rey" , 4:42 , 8 , 108 , "Melbourne" , "Australia"
201219 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 9 , 107 , "Melbourne" , "Australia"
201219 , "Holocene" , "Bon Iver" , 5:32 , 10 , 105 , "Melbourne" , "Australia"
201219 , "Born to Die" , "Lana Del Rey" , 4:46 , 11 , 103 , "Melbourne" , "Australia"
201219 , "Perth" , "Bon Iver" , 4:21 , 12 , 101 , "Melbourne" , "Australia"
201219 , "Paradise" , "Coldplay" , 4:38 , 13 , 98 , "Melbourne" , "Australia"
201219 , "Calgary" , "Bon Iver" , 4:09 , 14 , 93 , "Melbourne" , "Australia"
201219 , "Wild" , "Beach House" , 4:34 , 15 , 92 , "Melbourne" , "Australia"
201219 , "Lazuli" , "Beach House" , 5:03 , 16 , 90 , "Melbourne" , "Australia"
201219 , "Love Interruption" , "Jack White" , 2:38 , 17 , 90 , "Melbourne" , "Australia"
201219 , "Sixteen Saltines" , "Jack White" , 2:37 , 18 , 88 , "Melbourne" , "Australia"
201219 , "Brother" , "Matt Corby" , 4:14 , 19 , 87 , "Melbourne" , "Australia"
201219 , "Blue Jeans" , "Lana Del Rey" , 3:29 , 20 , 85 , "Melbourne" , "Australia"
201219 , "Call Me Maybe" , "Carly Rae Jepsen" , 3:08 , 1 , 55 , "Adelaide" , "Australia"
201219 , "Lonely Boy" , "The Black Keys" , 3:13 , 2 , 49 , "Adelaide" , "Australia"
201219 , "Midnight City" , "M83" , 4:04 , 3 , 44 , "Adelaide" , "Australia"
201219 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 4 , 38 , "Adelaide" , "Australia"
201219 , "Born to Die" , "Lana Del Rey" , 4:46 , 5 , 35 , "Adelaide" , "Australia"
201219 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 6 , 32 , "Adelaide" , "Australia"
201219 , "Video Games" , "Lana Del Rey" , 4:42 , 7 , 32 , "Adelaide" , "Australia"
201219 , "Blue Jeans" , "Lana Del Rey" , 3:29 , 8 , 31 , "Adelaide" , "Australia"
201219 , "Skinny Love" , "Bon Iver" , 3:57 , 9 , 30 , "Adelaide" , "Australia"
201219 , "Rolling in the Deep" , "Adele" , 3:46 , 10 , 29 , "Adelaide" , "Australia"
201219 , "Perth" , "Bon Iver" , 4:21 , 11 , 28 , "Adelaide" , "Australia"
201219 , "Off to the Races" , "Lana Del Rey" , 5:00 , 12 , 28 , "Adelaide" , "Australia"
201219 , "Radio" , "Lana Del Rey" , 3:35 , 13 , 27 , "Adelaide" , "Australia"
201219 , "Lego House" , "Ed Sheeran" , 3:06 , 14 , 27 , "Adelaide" , "Australia"
201219 , "Little Black Submarines" , "The Black Keys" , 4:10 , 15 , 27 , "Adelaide" , "Australia"
201219 , "Settle Down" , "Kimbra" , 4:17 , 16 , 27 , "Adelaide" , "Australia"
201219 , "Holocene" , "Bon Iver" , 5:32 , 17 , 27 , "Adelaide" , "Australia"
201219 , "The A Team" , "Ed Sheeran" , 4:18 , 18 , 27 , "Adelaide" , "Australia"
201219 , "Paranoid Android" , "Radiohead" , 6:27 , 19 , 26 , "Adelaide" , "Australia"
201219 , "Million Dollar Man" , "Lana Del Rey" , 3:50 , 20 , 26 , "Adelaide" , "Australia"
201219 , "Call Me Maybe" , "Carly Rae Jepsen" , 3:08 , 1 , 165 , "Sydney" , "Australia"
201219 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 2 , 150 , "Sydney" , "Australia"
201219 , "Born to Die" , "Lana Del Rey" , 4:46 , 3 , 150 , "Sydney" , "Australia"
201219 , "Midnight City" , "M83" , 4:04 , 4 , 145 , "Sydney" , "Australia"
201219 , "Video Games" , "Lana Del Rey" , 4:42 , 5 , 141 , "Sydney" , "Australia"
201219 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 6 , 138 , "Sydney" , "Australia"
201219 , "Lonely Boy" , "The Black Keys" , 3:13 , 7 , 135 , "Sydney" , "Australia"
201219 , "Perth" , "Bon Iver" , 4:21 , 8 , 131 , "Sydney" , "Australia"
201219 , "Rolling in the Deep" , "Adele" , 3:46 , 9 , 124 , "Sydney" , "Australia"
201219 , "Holocene" , "Bon Iver" , 5:32 , 10 , 124 , "Sydney" , "Australia"
201219 , "Skinny Love" , "Bon Iver" , 3:57 , 11 , 122 , "Sydney" , "Australia"
201219 , "Sixteen Saltines" , "Jack White" , 2:37 , 12 , 116 , "Sydney" , "Australia"
201219 , "Love Interruption" , "Jack White" , 2:38 , 13 , 113 , "Sydney" , "Australia"
201219 , "Brother" , "Matt Corby" , 4:14 , 14 , 113 , "Sydney" , "Australia"
201219 , "Paradise" , "Coldplay" , 4:38 , 15 , 113 , "Sydney" , "Australia"
201219 , "Blue Jeans" , "Lana Del Rey" , 3:29 , 16 , 111 , "Sydney" , "Australia"
201219 , "Towers" , "Bon Iver" , 3:05 , 17 , 111 , "Sydney" , "Australia"
201219 , "Myth" , "Beach House" , 4:18 , 18 , 110 , "Sydney" , "Australia"
201219 , "Minnesota, WI" , "Bon Iver" , 3:48 , 19 , 110 , "Sydney" , "Australia"
201219 , "Never Let Me Go" , "Florence + the Machine" , 4:32 , 20 , 107 , "Sydney" , "Australia"
201219 , "Easy" , "Cro" , 2:53 , 1 , 14 , "Linz" , "Austria"
201219 , "Little Talks" , "Of Monsters and Men" , 4:27 , 2 , 12 , "Linz" , "Austria"
201219 , "Perfect World" , "Gossip" , 4:25 , 3 , 11 , "Linz" , "Austria"
201219 , "Bangarang - feat. Sirah" , "Skrillex" , 3:35 , 4 , 10 , "Linz" , "Austria"
